period,base_rate_percent,source_record_sha256
2018-01,1.5,5fd8a499fba4d5b288ffc2537bcddc69f45246024353f7820159a29ea561f3c5
2018-02,1.5,cb54ab799eb88c9a3916e20228ec1c9b041079014a650916928e9e47e980b675
2018-03,1.5,c38aa911687fe6c77abcf476e62decef70e069623e8c1d80549cd0f02d590ffd
2018-04,1.5,773e35c8ba5c425021137e5540d87e6d59d4dbf1af9668afb7c81fd25164a4f1
2018-05,1.5,8281a54de1cd20cbfc39d319679e8574765d5d4a71f8b7f8a2d5fc301abca5c6
2018-06,1.5,5a5a43d8510050f32857769c53a43c10418c7118ff159961c7840c2f3e6b9ef6
2018-07,1.5,a740e6e2e45f7f28c48a8765389cc5f68335706d13102e1e804dea4c6de0d8c7
2018-08,1.5,884982dd8a103cf7bfa35e0008aed614673e70c81e04fafd30f665d003e545bf
2018-09,1.5,53b22ec5d2d561e4adba28237a89c1ba4cc9df3a8dfa37d3de3a942e5c7a010d
2018-10,1.5,b1a6a93e0043d1cb205eb84e43c03c1e125c72047b691f8df36ca44fcc10264d
2018-11,1.75,2293e216c93603aafcceedf97671d3e9e4e4fd8462b5669a2dc8c152255da8ff
2018-12,1.75,893111af335c942672cb63f6fa1a2c200463a031417e9bcf0e8e4890830a3afb
