period,base_rate_percent,source_record_sha256
2004-01,3.75,0623c92dd18db6c931f2bb39dd5afab005bb1c214baa65b32db3fda8ca0b27a0
2004-02,3.75,afb6474683beede380a7252a2d47d2d82a953c3a8bdda5506b89bcf92003745e
2004-03,3.75,e5e9f0745492cda882624e54cb35f05f0d21b1d2ced779fb246b53d0e96bc79f
2004-04,3.75,a6cc51ccedeacb980276cac389a9557b623011708c9898874b47072ea960b5d0
2004-05,3.75,4ff673063c722ddff2629c618b3e287e80fc9cbdf6b9ce9043814da3c5cba7f1
2004-06,3.75,e53401a801cb6f96c77863b7a1b36868200988078aa22c5d67b1ac2f39ae9560
2004-07,3.75,f5bc8c51059be0bda26891057f41680548144ce78fb633a266b03cc513493e11
2004-08,3.5,249e40f0db7a5efcd86de0803498cdd79b66c9a5da4455ef4bba0700e0e96b0d
2004-09,3.5,7afd8a360ff77c8ee032f040949091cf4af9d23e7969c04c2cf8502a92a2218a
2004-10,3.5,4f8aaf142b2457a14e9f125972762a516a9e06a09ca6b4ffcc7f30bc6d99ab4b
2004-11,3.25,0777a838bee443721d128e40333c7e23d902b9590f441bfb1c89e11d9bcbd49c
2004-12,3.25,b8db4a434a0f7196a1aaaac01ec84fe6347c5f9471b118de0add6cb6e90a5c03
