period,ref_area,cli_index,obs_status,source_record_sha256
2004-01,A5M,100.6015,A,15f29f5e8c3ac27b20f72ca9f0d7d80aa784567f40b0a551869c94cb1f2312c0
2004-01,AUS,99.7854,A,f3f03a9b18a7863a5bb2e77571f830a75033ebc0d24ba96bba1e0d416ffc2182
2004-01,BRA,100.8318,A,1b3d2cca198e28fc7cbe6461708ab0d3e7afb20d9363de02a38f19e9d8540f7d
2004-01,CAN,100.7898,A,a4caa872931eac3eee604a35c4a59be2ca7b435dff95500b815ce7acd90807f2
2004-01,CHN,101.2793,A,bb762562455b66659e7ebb08a3a064ea89fa839f467472e3bff408debbc8e5be
2004-01,DEU,100.5086,A,abdc0a0a7061b68545910640c7e5923876979e522167dc5f801dd93299342d28
2004-01,ESP,99.19395,A,b5b7bcd3cf834b64f35954491205d5616de00649169f9b9360cafe928be0c522
2004-01,FRA,98.91058,A,10ae3b7f7cfe8fbd28da4258745f02cbd6575be2a93ea00e5582e55c54caba2c
2004-01,G20,100.5561,A,90f3d0bc3fb630fefcfe1b8e23fb64d5f700bc4b6809d278bc4fb82d17a6ed79
2004-01,G4E,99.79971,A,74beb652e19aadbe3d3f10e503977b2d18cb3f91e168a2013cc0174b89ce8f95
2004-01,G7,100.445,A,532a6b24752c8f1550005112b07f1eb0c1193d118fc027631131e41541c8636e
2004-01,GBR,100.1702,A,22f476595f3491d57d268f4cfa792945ab7ec4f0679a457406dc42b0e8784477
2004-01,IDN,101.4561,A,bec774fadcf654b585dc8f055911eac80bf09fa90aa9dac447a51a4fc5d3e74a
2004-01,IND,99.53226,A,e8492a94a0878c11dc28f032782dea3dc9ba4181ba84d2c67fd66f94208c102e
2004-01,ITA,99.41283,A,438bbe732db4895471328f886afded2df465f8fbd1c6fb55c45799bb7f528f0b
2004-01,JPN,100.3835,A,5bee256a819da7ba597f73d2708aa8fa44c501ec34ea75b8f553d8e311de177b
2004-01,KOR,100.162,A,995d517fa6c882f5e67d217bb9cca198c9376afd2e27f390ce9832281b7a27a9
2004-01,MEX,99.45495,A,658037a04a729353b322784f59e3ddd319b2a5f7f53cb25102fc7e0d96782971
2004-01,NAFTA,100.7542,A,ea3a8fdf2fb2e9ee89d29c43ffa90bde1be13628b0c11651c16c52a041c97651
2004-01,TUR,102.5137,A,a9351ecc9790e3152bfdd603db8d146c5b120d2b9e8b4af615cd4279025b8ef2
2004-01,USA,100.9212,A,d58017542ccc013b8e6264455ee48191b1c01512b3b2113622184f491e4e5a24
2004-01,ZAF,98.99596,A,580111e1ce9c111ccc65533dc2055bcd931703ddcb7cfd02f45679bca6c70362
2004-02,A5M,100.6667,A,acfdf41af2e2c6b337f6818cfcf3e5dfb5e8cb2efd2abf6a019035151a756120
2004-02,AUS,99.7995,A,a45c9b45eb7bcf443940117198afb5419789a1ad798bf05289cae595a8618fee
2004-02,BRA,100.8775,A,05c366a2fa702902b844fa903c5aaeb7381b71edd6fe0223ac89e84ac5db4bef
2004-02,CAN,100.9134,A,b40fb608c9e296ea08dd4d798d6097b2ad910d6be824e3506ebf6e3e6901f029
2004-02,CHN,101.3075,A,15b089435c83de9e29572e2bcd71cff577a329c3e825133aa1468fbf8cbd8ba1
2004-02,DEU,100.5211,A,7c1374a277885dcca0be6dde9e657719108e4c02941e5b626228ab95e734ada6
2004-02,ESP,99.3189,A,0961ad9f4f88ff3c2f111653b6e4855c399c46fea1f0bff903d831838194951a
2004-02,FRA,99.07539,A,f8f369ff7a60f4fd13033db8af1502eec3448d70dbe2f54d838b8e1c4145b7ca
2004-02,G20,100.6444,A,7085094d85224566e40133ce2b8f13f922412e978628adb932ca71b0eee6d4bb
2004-02,G4E,99.85995,A,29bb752bac4d3273bb52ce46bb01e7e094ba6562b3bc82c8b776cd9c61098aa9
2004-02,G7,100.5447,A,db632d208d3c3aaaca61318814049d1bd9875de8d5f30a6e7c07c341beb3749d
2004-02,GBR,100.2362,A,25db092e6e1d715dd2cd0b33b6f7dadf7f671504fb50b9cb5e5ff5fa0cdc50c4
2004-02,IDN,101.528,A,05e0ba4c367c5d64e79bbecc8d7a9ffc92d51e1b458e5b28b3ba7e3aa1d25787
2004-02,IND,99.7005,A,55d1b070029b8100df0698a8bd9f1f41264542bbd6ca0ef88bd78301582cf29a
2004-02,ITA,99.42594,A,ce5f2d3b1a8a40bd797dcfb9d3142e71106fc89371e5ee81d21e829cdb036628
2004-02,JPN,100.4267,A,7e8db9b05092031f0107b3ba7e7c88cb9b5ca96da9ae814b1a3a9bb94fd7236c
2004-02,KOR,100.2218,A,8985119627b93c2221bd89dd72dbac4065426f219db0d935cdf55281b85a6bca
2004-02,MEX,99.70389,A,0b06e7cf8d1569e76f1b145058502b28c78cf3ce3244db25dccec57cab2b20bc
2004-02,NAFTA,100.9073,A,5e6361a5e510a950c8069ca8371823a197e95758169c86ce2b5b64ad9c497942
2004-02,TUR,102.2532,A,22c649648820b8be9c6d17ed3f7c16a0cd75e8f3301d77a441c5c37a1a5aeb62
2004-02,USA,101.0649,A,d5905cc597880fb776f3718c8edc43bd55c63445358f18a71159cfdfcc814178
2004-02,ZAF,99.12688,A,6b49e155e32b79b3f8ae28c94476b991789b41481d71c39e9d04aa0b773c7486
2004-03,A5M,100.6782,A,0ebd3dafc2821e312a7d703e497fa28bbfb024492628b39a16b70f18ad4e86b5
2004-03,AUS,99.82596,A,214248ee4e47ce915370685a82e4a4edfdb7477665058ea1cfbef6d9cedaad8f
2004-03,BRA,100.8268,A,d4e589fc80a78b1744be797a5ee6d99e32e4c7603f49e5b8078ef1f6e1cdea00
2004-03,CAN,100.962,A,5caba384ff0581e348e7f8740c5a8b3d976ce76b3372488888de024ee54b77ea
2004-03,CHN,101.2209,A,725b6eb811ff519393436577f479710f855661225c3cfbe9d3b04ed2b8ba4b70
2004-03,DEU,100.5174,A,cd35046bb89ad5003f6d550c1febf89baf3b1bf6f75ce2a61136597384d2d0a4
2004-03,ESP,99.41766,A,7f0195a83c7ac28df7dd8d0f6749d677d242cae549695f641d3fa2658997b0b4
2004-03,FRA,99.21228,A,1dee13b4d54a5c4e708fd03bdda0479043a2b172a09f36302ca48d6e33992116
2004-03,G20,100.6753,A,4c481dcda2b6b9bb734ac8594c9fd329bc8e22b8b06515a27770144f62692668
