period,ref_area,cli_index,obs_status,source_record_sha256
2019-01,A5M,99.24513,A,9565d9df07c9227591f84ecb4ba31294ba10de0c9ed72c314ad30b53e6ee29ba
2019-01,AUS,99.46425,A,924601f7cb1e195d2c0f9bd4060e639a6ba8611e300f8e05683fac408108352c
2019-01,BRA,102.1443,A,24b098b9fa453c6c6f3a5eef1a8a7761b62a3a4191dcd6c7c3423e966aa7dae1
2019-01,CAN,98.65983,A,7a1de51ea3d2fe2c4770b82245c142ce1f514ac2a625db21c33c5411eb9788f3
2019-01,CHN,98.10034,A,6abe6b16033b43749a5675e7c7f720efb58fd7fdcf1e220c36bfe46afbd2f61c
2019-01,DEU,100.0006,A,a1fa074780fa9a1399bb68402051cd75b7f146d9869803261b68a9cb8a11244e
2019-01,ESP,102.0139,A,e1e0d720e45ef4359bbda3f9bb6153024e51c5d6433b91a778517b6e119bf185
2019-01,FRA,99.39016,A,8a3a6d1ba6f0d32da7e8787696f5d6ab880d1d7d191ffdf6b562acce3957a7f6
2019-01,G20,99.44493,A,012ec69b49d4bb5453c599c65d3783edd73f68f07a6f5635d55cd90a52a30689
2019-01,G4E,99.32899,A,83a34d979d636f00d6cc1ba0fdc9724351076fed918127719d674cf0f07c6b37
2019-01,G7,99.60645,A,869ad8611220831bbe668d2aa46c62182ed9176d1263cfdc648cf75106b3bfd4
2019-01,GBR,97.87463,A,70398e42ee1100a8e88d63ce83b1ccf14681379fb93353f28031caaad39bc7f2
2019-01,IDN,99.66097,A,00bc7540075da8266162e8c9549d322d3dc762f56788ded14f4341c49181634f
2019-01,IND,101.1349,A,5a0e2f0d02e4b42328e525a3ad7e9d354980fba65d189c161e5a1bfc6fc181cc
2019-01,ITA,99.77748,A,aa5b2d5bcd31e01f02f8b27f2347b659b5a9b6bd9e72ed60f1640d3103806728
2019-01,JPN,100.1224,A,5720c147d85bbd8e1fce07d950bb7150f90331cb5d46f672f001d052c7d9dbf8
2019-01,KOR,99.41513,A,499d608962da3cfabbf2609fee4f6bd0b25fccc50f46627d770231dcd18434a5
2019-01,MEX,101.3808,A,eef416da7cdf88abfc708938fae8050d7ee34dcda4744256e3f95e909204e23a
2019-01,NAFTA,99.83598,A,e4f2ad71d87d4271ea2da5298b93454cc165ed22eceb10bef9fc42dd5c0d4e91
2019-01,TUR,95.41741,A,717ac277a4466eed12fdfcd948a9a3d993091b7d6a7949976800484fc18a4443
2019-01,USA,99.74468,A,7af2334eefa233558a520577e8b81dc32f3e8ce63ce6751a3f63a42c57d9b1fe
2019-01,ZAF,99.58346,A,c03917046242814dd1f06d37c9118776f339f43fb644bdc4ccb760c6025ba586
2019-02,A5M,99.21436,A,669d406306f20b7a343eb3a8a1ad33b84bd094250f0fe57fffea7ade5d28dd7d
2019-02,AUS,99.56423,A,0075429dd64171115172167f08f554fc7afd45a2467519f1f3aa783c93456f23
2019-02,BRA,102.2289,A,dd4ee46f462200f6bc6a149a28111b1e3e5955dc2a8c2432c80cd529c9587a9d
2019-02,CAN,98.52593,A,8faee037e7e4cdf2fdcaa0406a563156aa3be987c85625895f5774a408d70a6e
2019-02,CHN,98.10726,A,b8a4b274e594868cc263a9a196399726883adbed1caf2abc4205f2a6fa3f8b63
2019-02,DEU,99.78278,A,ad9e7255b7e8a59c600deff6e2b528e0a8528684d8720727dfe23e9e745f17cc
2019-02,ESP,102.0336,A,d524965a6aadbc9ca9699ab30b1c0b1a45c21650c1aa908b1404c38945fdbaec
2019-02,FRA,99.4902,A,f0ff2f936a4f4e19fd2477d33270f32d0312efb574362e411300ae02da92237a
2019-02,G20,99.37998,A,b073df4f4f4481482feb3fc249533a03887ff9810572982bfd0ccf63bb7968d4
2019-02,G4E,99.22942,A,cba999e4e266b04bcaba4e41b090b1440ed83e47368c53d1e1ec987cb0495aa8
2019-02,G7,99.47579,A,c4514b101140b7daeb5dbe5ae3e7849e94ab90864f89e01666265f41a8020360
2019-02,GBR,97.78925,A,6d620828ea616f0eb4bbf4218a8cca615d46f271f748776fd36d4dc9eec6b24a
2019-02,IDN,99.80444,A,649e89373b21aa1b081b511abbe41846193df69299098ec9f8b7f2f9dd08c1d0
2019-02,IND,100.9788,A,87c497ff8c5575ef175d3ce1c0970cdccd29ffef7f01b95e27fde6be3e38b257
2019-02,ITA,99.62705,A,d5f43917c94c1dbe2bb7212034550dbf6669b7961ea84b2c2a202722a800336b
2019-02,JPN,100.0447,A,a856c8bb36e8e8af58b278f0313d71f115ce82d13ab4d12c495aec51d611aa44
2019-02,KOR,99.38418,A,4ddc3954f0585dfaeff9ab495786cafdad8f5d091d9bbb5e786eb60f09b5c0ca
2019-02,MEX,101.2068,A,429934450a72c60fbeb6ae7af86a5b63c411da9b3e25c585b7067457d725d134
2019-02,NAFTA,99.67253,A,77582d38b7c40b4d89754ba5e93735da8c6306d01a59ae2840c939881414b973
2019-02,TUR,95.69424,A,b9aed2a663148ebec77b9963af50d0c12f9bce9a8fa2f2dd545a890fe98f8147
2019-02,USA,99.57985,A,8956f1f3bd3aceb4ef1ce2c7e3d654ba93e1fef3f0c107403351b10d673d5018
2019-02,ZAF,99.50517,A,03ffba7239d36aedfe7a2b601a2a5c88e160cd65e805a3489672d4d2fb7f0a7a
2019-03,A5M,99.21912,A,75ac8d1b20ed052a971c1f109e37ad4e97f9befcfdfcc3b173db7a7944238bc0
2019-03,AUS,99.69372,A,0731b830b112ac40a5560971efb6b5107cbc491aa51e38b5c9351d5083552fc6
2019-03,BRA,102.2414,A,698b6369c7fa5aefde96e66693bdc2ec818fdb145b368a3ae4a317e29bf26a30
2019-03,CAN,98.4341,A,6d2d43e4fa96b56ff9fd65c24cc10243792ba88d9ddb7abc9d0392488000249f
2019-03,CHN,98.18822,A,02b9f303f5abb2eed9842361d21855d3fb1e488944558433e583bc5253fc379d
2019-03,DEU,99.56267,A,9b1f6bfde6ee8c1a115deded395345c2987dc0655295a0f3b36c66e0e43c1a24
2019-03,ESP,102.0154,A,6e6fc2845290e41ce29abb907230a8ff6c7c235312b5c7c676356cae0e0f1805
2019-03,FRA,99.61613,A,027d981fc36011368cffaf208870ade03b8c44aae7dfe0c0861cddc1b5eb08c7
2019-03,G20,99.34323,A,317068d6bfcb9fc1b23c36fc23ad538d3afb440fd9418a08bcb7a075a9889e4a
2019-03,G4E,99.15872,A,e28bc962949621f6ce8caa99ae794eeab1bd618c1ffb5cc85d7d51b81d26e4c3
2019-03,G7,99.37344,A,7bc91fb3aa7ca24dcfa8584e58298232ebef2ab9dc75fbc9f64d25103c60fe8d
2019-03,GBR,97.76923,A,461e195e4b9511bc15dab5c57088be0c04350e5afe36f2817fc72abd12ffe7ca
2019-03,IDN,99.9278,A,9634288bd29cdaadde661f24f559082350f70f2c04d700e4bfde13a9cb214a3f
2019-03,IND,100.8172,A,eae4ffdeabf2e4f7e9c486a50fd46cc470ae9b82aab771a5f018078be7034d6a
2019-03,ITA,99.51833,A,664b844c656f79b281a3df21a3e30033b553a2ab904bdf1872bfb176f948977d
2019-03,JPN,99.9709,A,4e99394c4519a696571b8e1e1350dc5859207af16e72ef9e91d64d0b452761f5
2019-03,KOR,99.33035,A,bab55b822103c73573850746db88a61467b7b8c89c43658b02a6b6fd91c50b4a
2019-03,MEX,101.0271,A,dc8da7ed3b794e393bf910fbda28bc709fe64c413c810193e112502b5d7978dc
2019-03,NAFTA,99.53882,A,76a471c053fe22f32777fd0bb9b8f84b48c5b3dffe4a457df8bb2a04627af504
2019-03,TUR,95.9856,A,b069af9d2598f3a632ca38e8d72a81e1e0702df50a20cea2709bc46b7915f43f
2019-03,USA,99.44817,A,dee8110c8fd6a1305e38da13a2efc5ac31463ba6f6fa1ebe527fcd48b527d2c6
2019-03,ZAF,99.44173,A,8088dea6ee046139587849afcd57a14bc2c22405d331e1f06e10757ffc93fd15
2019-04,A5M,99.24036,A,34c14cf09500694b82de585ef8fde460e2c8804e98b206702d911adabba16c29
2019-04,AUS,99.83652,A,235fd1ec6b4bb0078326476acffa16eb4f7a8c1b00056b4e46c89afb25acd8fe
2019-04,BRA,102.2335,A,b8eeabfc833693b9d066e3ca8c758e2990544a22e637cdc5b2f4320f0570f547
2019-04,CAN,98.35984,A,b5b9df68a035ace17099f86fe6f6d06c6f8a2d3647128ce56e95dd417b9f9b32
2019-04,CHN,98.30844,A,11e7385517810fcf31b601e5c384ab5091a73f0a1ba392085f75f154700d9005
2019-04,DEU,99.34268,A,af9cd76e471fcb6e254cdfc5706b2d3dcc38c0cf3fdfe65abaa9c17a77988326
2019-04,ESP,101.9464,A,cfa37ce2cc0a3a637271923577e0a3f2dfaab0a70fc68f4e15e7b1331db813d2
2019-04,FRA,99.73554,A,29875c5fc2e6da4d4906b2fd023f2e40594446e9660af960c6424d952231a1cc
2019-04,G20,99.31848,A,296cf043e4a183fa08ade19c453e58680bcd2a3f117863a69b328587b36a381c
2019-04,G4E,99.10296,A,392c1eac98b145601668db9746cfa07409268693e5b880f6e49a050e6937dc1d
2019-04,G7,99.28168,A,aa9d4dae931f3560c5987bb01b88fa125ab160523aa6b71f256638452b0ffee3
2019-04,GBR,97.78648,A,91a72076c5a9545f474f09b3d973d724fafc2bc9f14bc8ab7b2256b46cf75cfd
2019-04,IDN,100.0368,A,92142a3834e94e34df00eea983936c8ceff131ac4011c3631f2bc9030d751f09
2019-04,IND,100.6511,A,861429970342722f043c2bd6eee9dfe45b7fbda42d6557f76afe645df17c801e
2019-04,ITA,99.44856,A,1995129f5051dfc8196971c84fd403eed030e25486cc0c7a1f8671e0e562270d
2019-04,JPN,99.89404,A,7f4609300e8ffd84f25f62a76d1a0990b9d58ea6e46f865f133d4f7722996335
2019-04,KOR,99.24368,A,ae374d15a81b8c150e58649d310471059ba1cb3a806aca598ea8ca30be2f09ee
2019-04,MEX,100.8223,A,6606e92299b8c6178a8beca8ac48a4e037b815db48fadf73cb961adb8da8778b
2019-04,NAFTA,99.41258,A,008db0ed7f8f5c9bbcf25441c692197ce0ba6ff3952ba073052247257d849ea9
2019-04,TUR,96.28508,A,c761d7395928d21399a30d725f47881d837f15f352d2f38922149cf916a32dac
2019-04,USA,99.3272,A,2e92c96b45549c8de37e6b878cc835dc32affcfc10ace9669dd85ce3fd881028
2019-04,ZAF,99.38441,A,9819d79cc3b47ebe16d97eaf59b1f688cf826c6a247b0b001a3a38ce83a3b353
2019-05,A5M,99.26579,A,d365720553bbc817df7f9cacc94d2eaffbdef48dd3fde668cca3218a10bc2b0f
2019-05,AUS,99.97518,A,4fc6864d28b33ffb73dfb5801a363684074d48f600ade8b40ad52b0254d2311e
2019-05,BRA,102.249,A,9306e7de8dab1cf9b91b61f0809442a3791066d39ee12bde954391aec7f26884
2019-05,CAN,98.29388,A,fdef39f50a535ed824899441dd70d21fb8b0906b0be3175f1c7681e8b43239dc
2019-05,CHN,98.43904,A,d476a3949106291e36668cb151122c81328cd0269c965bae18855d4902fd876a
2019-05,DEU,99.1226,A,1a5bb92a3f4357927cb0af3835116908c60aeb1eb09b34cbdb2128d4eb68bcb0
2019-05,ESP,101.8367,A,0d5096c2193c340033716ad93b49b5498e8701e12889acad46ad7372d0f55350
2019-05,FRA,99.84389,A,24730225a1bc97b632c771dbb04720e80dd843c2eee166fc64e593e34536b59b
2019-05,G20,99.29748,A,52a3d389a95bff7cacff5d67f825d2529125a145fd65335d629976d3de3c765f
2019-05,G4E,99.05157,A,c4276aa6c5d9a2f7b94e0f351b564c6ab1629363f46e69de2c5f88fd66402922
2019-05,G7,99.19528,A,925a671e66d7a0e17170f9fa6a5269e47cdab59f48d217ed552d354c836437d7
2019-05,GBR,97.81992,A,63f707e96436872d869303a19b6d8a719789689710119bfad846904a21082205
2019-05,IDN,100.1456,A,17600f65c50bfc2d76a755241b7a960596026c006189bc1398d54dc0d98fdf19
2019-05,IND,100.4834,A,4d6d6e17cf6e1886f643292178917ebdbabec0bf3f5ec8f74c19f67c0007ffe3
2019-05,ITA,99.39495,A,89b21579057f1592726cb5ef9cfc79c2ec79c8309aaf57a32dcabe9c6ace58be
2019-05,JPN,99.81405,A,eaa3976090de9e5e998489b34621966a1267ebf1ef08d51f2cdb9306b4f3064d
2019-05,KOR,99.1478,A,640e6400cf33699b90d9a37ff68fea7694ef34a1b99dbee852ba6cb1eba49fe7
2019-05,MEX,100.5297,A,ce35aa915c2601e41ce4cbefe5fa6ae3deef426d9e36c339c1d9340da9fc5a2e
2019-05,NAFTA,99.28433,A,8b2d319336642c475bf5f8dd54bb870909b44c9318dcbb2dd717c125e758504d
2019-05,TUR,96.61588,A,b802db7bb1b09bc50d3772fe509b7e100deca0ad4f57d86cfd32f28f02f3caff
2019-05,USA,99.21421,A,6584bc020233fcb43210d308aa91647a30bdc577bda8f3e817287b6e7d1f39a7
2019-05,ZAF,99.32949,A,4d4dde9e2e667425266c1ec871290678dadff82e409d20144071672f6f8e6418
2019-06,A5M,99.29311,A,aee9b89e142559740629069376cb6db92a570fe4035a8982a4c36b3114d65a24
2019-06,AUS,100.0793,A,ee7608ea8f617aafa2cca4931c1e421619f21704419f86fadf41dc36985f3d69
2019-06,BRA,102.3209,A,ca91a310b5a7c90bf7f928841d2a52eb51e2e87e4c25accba9f8878e5a73b07e
2019-06,CAN,98.21775,A,9e823c58fa83dd5e488d5c5712e40d833fb50ca21e7e239a8f8d3ac35c51a5da
2019-06,CHN,98.57191,A,6d351d4a248a6b88ab60b7d5f5437a0a34b7aa1e7f5051f6da039df342406585
2019-06,DEU,98.91223,A,5f63b3adce397c31860962ccccce98fb5c2faebab73069b24ff3ad6c94c36925
2019-06,ESP,101.6831,A,eb37f894fd371e83b5db5e014536897922a376881a1ad5478b32e7691daf3d44
2019-06,FRA,99.93853,A,9634f54fbd160fe2a7734fed26fac37c380cbdee21bccf6b1ef718a79b1e3564
2019-06,G20,99.28098,A,c32493c00c3e9c018335c0c44f81cef896bd1d6797752299018a9c245ac45ce7
2019-06,G4E,98.99755,A,a88afeb04843566e93f2f5cf49a3b00fe78a6357b6ea6d6ff35602eee60d3ef1
2019-06,G7,99.11201,A,0570d553ff87910cd8fa4d30afb52611d41348f6eff59fef53c43f5859d0f6ec
2019-06,GBR,97.84595,A,be5f822c65f12ca09f48fe2621eb024cbe9d79e151a9ede69e39392c98f0b5e5
2019-06,IDN,100.2645,A,5720514866d1f166a80fb8a007587a3f0a8d30e639d856a3441c1f54ef375d36
2019-06,IND,100.3177,A,b51aaa31fb23f45133ca9de1d86172dd7683cd58c7ffb057e1e58a3c9ee16be1
2019-06,ITA,99.33637,A,bbfd8576fca719f14987593780333bcddbe9a93c68adf4304039d6d4f1b68e50
2019-06,JPN,99.72666,A,5b9453a2ae2041f75904286bf2543a653ab4e37a5a5fce16a70dbcc112bb385b
2019-06,KOR,99.06031,A,e9727b4eeaeb612de8da68c03aae38e67ecc370a215a32a56bac3c193a2f0af4
2019-06,MEX,100.1719,A,0e0fa75eed9d853a28ab3055124a4fc400da845f4645b61c62ea98bd4477bf4e
2019-06,NAFTA,99.15745,A,98abb721928bbf9061acd41ddf4fdf8b70cee02e2b4e5aac9266b27f84abd7d9
2019-06,TUR,97.0212,A,55119aa8bddedfd4bc8d1ffc4827262b36ec357e6a50870f2921c685105e0c09
2019-06,USA,99.11214,A,8f6f23499e527db3aabc61657a303f8dff7fb2f21d57fd522b0c5d65332471f5
2019-06,ZAF,99.28142,A,3a48e445b948908f9bfc3943da022d3341998f7f36e67b118fa8851d63781c8e
2019-07,A5M,99.31259,A,991826f6200670ff3d99df4b377e2d233a201530c234ae3b2cd7705f8d382032
2019-07,AUS,100.1333,A,00cc9ca47ebc0ce3c6afaf5252a34250bf40a0d5ed1f618600e435ab694d7d61
2019-07,BRA,102.4457,A,18fa3ca6baec0cad5246e9e4023b36adff083bc89b13580059ad5a514a4f2666
2019-07,CAN,98.13425,A,bc48719e33bef0ed8f2b497c718297d8e4c9637c3cdf5a97952ed7e96c2365f9
2019-07,CHN,98.68747,A,67d89362448fcd2985c5e3604b2c5a677a07f3cf4af29bb5c1f365171ae9a1fc
2019-07,DEU,98.75043,A,18b31baf5640d5b24cd420e9aea0c1361cd85b3b9c4d01fae01cbbf85426bca2
2019-07,ESP,101.4721,A,e4aea693fcbea17dd3ac5d880583641c9401c37e9b281afc5b2d81dfb7b63787
2019-07,FRA,100.0264,A,86ca0a65101c1f720ca70f8ca80400ee60f3f5ebfa4f590fa80df9236362575d
2019-07,G20,99.26974,A,93655ba311fe378eec594d1ed806c39aec98a459ba8eb422e416704b756b7efc
