period,deposit_facility_rate_percent,obs_status,obs_conf,obs_pre_break,source_record_sha256
2010-01-01,0.25,A,F,,88aad4aab81f97cc620a316f47118f5b5cd44834b752a7ac52682c526847b00c
2010-01-02,0.25,A,F,,0a15417804cc588b319770cb9cfad17e0572d392e96896ad300a80ee2646f402
2010-01-03,0.25,A,F,,f3573246c3560c3b70860926d2da59e5a8046dd03652c9d6067097dd6900ab25
2010-01-04,0.25,A,F,,130c7cdc3ef7ba43b6eed5dc2d6d8d52442b2915bb038ac582d0b693601e96f2
2010-01-05,0.25,A,F,,775c7a5fed6c51f748185545529dd8af81b84bf9609acbfbc9d9e074654725c8
2010-01-06,0.25,A,F,,e855c68db5c1471138c10c2c4f4f8a4c98325ef6af4ff61745d77e37e61e2ede
2010-01-07,0.25,A,F,,f64479df6a20828273b2337f15a3403cca81c54ac0ddf41b7cc68b785cd6c9c5
2010-01-08,0.25,A,F,,7553e56213901cc82cac63fbdc93333c26735c8368afbc16dfa144191b9e428f
2010-01-09,0.25,A,F,,63fd1b3cd69391e544ab2eb408635ad3e7cd76cb464aa8005f927e85dc067dd1
2010-01-10,0.25,A,F,,66b626e4b54713290bd3c5e13d73ed8bc2d408d61a28697e5fc781a02693eaf2
2010-01-11,0.25,A,F,,ccb09bc28f7611a844af44ebf63ba45eef4ecd1ac2415796b8295478cf3a7985
2010-01-12,0.25,A,F,,6125c85187c0b60f976a7a4d5c26f9f1e7e918a9867cddc20eb5833dc4fe1a8c
2010-01-13,0.25,A,F,,99340c2b3914ff412b1dfcde8e8587e8a0aa09647e74f2762e0304afc90e2044
2010-01-14,0.25,A,F,,aa8c5a1dc64d030192fc447a37d81bc59559c168770f9f50fccdbbaafd8c4e28
2010-01-15,0.25,A,F,,049a5c7f6738dc6d0f77a54af2057532450f096c16ead57e3e9026304f779625
2010-01-16,0.25,A,F,,a75ff8e8e01d26f71e821cfe68e903fddb19253f46e1483fca06cc58cada57bd
2010-01-17,0.25,A,F,,bd5d1766ec31aeb9292c748264496cf1bbf2878a316c6037bed7bc82eb53de7e
2010-01-18,0.25,A,F,,65f06743afae9fa8ce745ff76f46753a37dc58e1eb53771d8d38205de1ee50d4
2010-01-19,0.25,A,F,,778f0eae67efbd833f8088fd7ae48c2e3b47bfa3c51fa5556d2e81245c3716fb
2010-01-20,0.25,A,F,,3124b666dc4c2c6ad8237760b8d805f9617aa64857d8e9d5445c262bcbe052ca
2010-01-21,0.25,A,F,,946dc046b3914d4db911f7fb978140bbea12cb99ca056c91d252b670d2e844fe
2010-01-22,0.25,A,F,,2198b841b6a9398c397c19ff665602c107cce8d29a02fcf6c4dd9118f96d7e5c
2010-01-23,0.25,A,F,,ff1951460ce7560499f79e01f72c88f5378751583fd747622d18c76cb1d18cb3
2010-01-24,0.25,A,F,,8dbe93d883592d29520846cddee3161e38121b39f0fc8188b066910474e69b11
2010-01-25,0.25,A,F,,aec6cd4f98af611ee198f96f6b059096a8a002616daf7db0a05a07834af1f743
2010-01-26,0.25,A,F,,2e3f7da5024097061d8464d8d0faa3d9fbe3a9dabeb5315bad6d5893c85f5170
2010-01-27,0.25,A,F,,6499724fd1f69ba908d51dfea1ea62cdad39e63d9873ff9bf001cd816c3c53b6
2010-01-28,0.25,A,F,,0d2f650d0fd081d0933c511bb04b40abf38c0a3b0c5f25a7c88d4bb14a123563
