period,deposit_facility_rate_percent,obs_status,obs_conf,obs_pre_break,source_record_sha256
2021-01-01,-0.5,A,F,,10863376908f379849a7b87896115ffd73194a44ab3a01e0195dd5348b4a2441
2021-01-02,-0.5,A,F,,f73b01ef77db4e13302b4fc0d4e6066492c923d17167dbba9466d7abb73c44f8
2021-01-03,-0.5,A,F,,6a2717079bd0421bae86ccc708ad993f4002b498de7f5ebef8f233b250f9ab34
2021-01-04,-0.5,A,F,,7eae2093f9d7afa94fb10eb9a62ef641f8e6370939dd1b17b0e2b2e88a01359f
2021-01-05,-0.5,A,F,,8e8e840fbc1c6dcb8e503516e3b2c98056e9987a54cec0182a045caa6c7e1bd8
2021-01-06,-0.5,A,F,,e223376cebb1754042ede1fc99e6f002a0dede1cc8f7e2275d376832f237f19d
2021-01-07,-0.5,A,F,,aa17e2f92ef138e21e61efefa44c2ebf4b257d406e7be4d006dc8241018f59da
2021-01-08,-0.5,A,F,,c470ead27d5bb43fa024d57b6db30a3a1b77ad8f0676fc2b6386bacbc77101ec
2021-01-09,-0.5,A,F,,cb4bbe20502a9fb8f88f18a44b36e4b35122abda2ad6eea34ba679b2db4eb50b
2021-01-10,-0.5,A,F,,7ecc0246d6b6a58bb599e1b3f1fc5e047e09dcc48c999132490b25485f94836b
2021-01-11,-0.5,A,F,,49c4509e1952b6ff370d376d97c56cf7f2589cdbdc60d436e585ba243f0e033d
2021-01-12,-0.5,A,F,,33b393617605aedbed7db201df1112f02ed7b948128496586d21eab1ce47c672
2021-01-13,-0.5,A,F,,87f811a265406c3eb04cb83a1d4aab8854579d7bc2b14b8971e1006cfbb055a6
2021-01-14,-0.5,A,F,,697cbda1c325586a388c024f41efd98c0e078004cd460132c6764d2b73a7e885
2021-01-15,-0.5,A,F,,befff0d5fa559b8a476a053438a23a05a2b2161fc7f5467e7faefd469334f932
2021-01-16,-0.5,A,F,,53572fc0de82f2ee1d27c37823244b30a80256c30e2df19a542d2d02f2d8c634
2021-01-17,-0.5,A,F,,9ba232ed660cdc471c183b56d2d47e1092fb03cae741c1107e271a541bec43dd
2021-01-18,-0.5,A,F,,cf2b4b072422fd049dce89e4a4a5c549d4337e68e819427f68ff1038b81962ec
2021-01-19,-0.5,A,F,,280dc74d9a3a538b11138c87fad3e29793350fcd7034535525ee1e7df0c5f129
2021-01-20,-0.5,A,F,,16f9a093ffd7c306cc10777af58f2be97b7a11a48ec95a13f333bb95519685e6
2021-01-21,-0.5,A,F,,be72c8b10f513d09755d97fa66cd1c04e75fd27c7851afb3e260739772cf3802
2021-01-22,-0.5,A,F,,7a155970f22fe12a4ed7664732f09226b8a21a0f1eeb69d804b8d5beafacc94f
2021-01-23,-0.5,A,F,,a9a72cfe23e832ef9b1c748867e574ba2248355ed5e5d002905e38cee93b5823
2021-01-24,-0.5,A,F,,55bf3068c662157bc2bf4506627ef0ad0cae5655b1064380e2335ab337db7947
2021-01-25,-0.5,A,F,,3947df12162a24769fc80cb12b85c92c598d8ae49770ba28b71ba9f5dfdef403
2021-01-26,-0.5,A,F,,23a9b5fe9188b665bac99e770019b15e1d134e6b93e9ad9af9a22fc8af595908
2021-01-27,-0.5,A,F,,9a526727764479bc46d08ac07787a82da04611cb51b5a53299928a79272570c4
