period,stock_thousand_barrels,source_record_sha256
1996-01-05,285623,b1a7f8694ae3dd85a5d4e2e4d6d416cf422e85e551a1a7c81eb9bfdecd105a38
1996-01-12,288551,18119416bcf6c703f7103216cebc90b8d58af6779801661bca0624a86c57e6a7
1996-01-19,292829,a3ced1cac20f5963648be5afe54f7a875858c6687084f00503e2a39d2fd7cf57
1996-01-26,291084,a811c07806bb1e38b22696ca9170e39d2ccec8c4ac761e2dbd757e4c68e2e417
1996-02-02,288674,9fe0becc0522e6392d3819a30b45019feb7bff71e3cf573a9d1ac0af028dd917
1996-02-09,286440,e64f479f63507fe66bc5e0f235fc2e4a65a86adcd8c835decf0156f2dee69019
1996-02-16,283380,aeb702fbd976f0a43375b00e4b7c47d2ac74501a01f0529f98f19cf535e1212a
1996-02-23,283723,ee38e73b8d3afbf1f0c7cddb9279dfca858fe456295e3e19a4a7f0f0285a6dac
1996-03-01,280448,8dcce5ab9ce548e8d368600fd49ac4bb899a0b11e8e6e2248a41972f93e10310
1996-03-08,288673,5d505348aaf4b71b253ea5d5b8d08a1842739f8cb50efc47586a442b29b12d15
1996-03-15,283404,96f769da24b1c6bf3840408116dc4df57f0e2239b32a5633b6d7ab77ddd32fef
1996-03-22,282187,227ff3d2406d8c7260618ababb56d103605d4de9d17c213f9b2f2699b5eefac8
1996-03-29,280124,a8fa9d340af252f92056b42c9c6785c975a2cde436475b47e419fc1664c0b8ca
1996-04-05,282424,30c739e8837de968bc4595a38ad787e317dda4839584c228cf0247b9461f9d61
1996-04-12,283823,1ae29ad8c10026fa2a60dd2bc2409b8dbb1bb5abf3a09eed46a15bde83ad7672
1996-04-19,279794,cc0829917ce353f64e3cb89f0d31f9a3ed59ab1d960664c2c8e21ae381e0d6b9
1996-04-26,279424,10af2dcbbcd09176e082b76c6189b88a194339eceebd76386f267df9e57473a6
1996-05-03,286604,e33b764e54d3ff2939535ba62b2503cd717ae2a4aebaaa2ae7b5a0605c93fb63
1996-05-10,284902,8f12165955fd4a831e9105eec91112e241710b2a4cf920b2eb1c4512e22d389c
1996-05-17,280450,ccd49631d53aed96aa241abc8b5ed6adee2bc0846791b3939cc5bf7cafadcaab
1996-05-24,281578,df8a2ca1ab6661b35dbe0d1df63f5fbee13544adca31fc08528b57cb4f589769
1996-05-31,293515,1656a4e38a137d3a8f1b7022fbcce5ca6fc8d040bdf65440351395485191d3c2
1996-06-07,291863,fb7d63a2f7a0d10c6f455d6b203a206ceb5c9184b18d01ca32dbd1054ffb58e6
1996-06-14,288853,8b083072a0d010a6f52df8b7e6702147a968215c923edcc39957b53a41adae7e
1996-06-21,289709,e2b5bd52fcc9cc2a48614f92ccf7a31e991573cec1c4a12253146cf0e473d011
1996-06-28,296562,c13fd1d12ab717345fdd22374929f93447cd980a2f454755b946b3b687563774
1996-07-05,298222,3af88fe8fcdab14daf20b5af56a2a15fdd4587d62a1350f498149e7786555587
1996-07-12,295695,c04d2813e8f9d6cb79e3c5ead31d10ffa6b22114b4165c764cccf122380f3a46
1996-07-19,291857,e775754ce9c13c5c773957db325b3116053496d149edd173d3b1223f5efab988
1996-07-26,292972,2e9c863c1dfaf61672198950106d7ac6a234b56c4f843a45e80a69110f7a0594
1996-08-02,290295,5407dfdf29b43f0372f0b586eaf2e91ddd3e102795342a4d141530cc5463cb28
1996-08-09,289134,5497188c7b0aaeddf65eb3c55fd3580af00927baed985e32b478b176cf41eb33
1996-08-16,291014,daf74f5fbc0918d3f41ba856fc36271d06664f1bd523b31c3f95dabe8351387c
1996-08-23,300715,9ab05a65870b4c66f5878066ed4eec8f8cae550387398816cfe36dd51a34db71
1996-08-30,295650,300e8173e0fa9489bb6936bcb8119ae7cbe53987dfe48dc797759867ee97c7de
1996-09-06,292562,d6977b96bda3c86262c432de87870a8a0546e6a682602c2faaaa76dd03a3b532
1996-09-13,290575,57ff1a253a1c4691938a22d8513ecea73adee5bdd75d11f3e10d964670dd6c17
1996-09-20,291751,53adc63f88899e42e2a3eb198772a6fbd6e81d4536b952714f9d530a22a440f9
1996-09-27,286638,dd2be8fc052b0421e5efbca28ff3073fa5723e0d7db0150045ae07f29fcab881
1996-10-04,286261,6200fe2157e19e5f702aad9b9168e7986a34a6735c78e77cd945eaf8a6aeed87
1996-10-11,282960,1a4ce836bc16af6a30902ee85960752cdcd7bb09f82462e1685103e064f32a3c
1996-10-18,288701,1811eee5ab85f82bee6c6b68c2b3122b46f85719715b47d74eb077fa698d9e1b
1996-10-25,285642,b521a6de385b98bc08d57dbaa6e6a837ddf16b5586137142bd8a0c07c83812e7
1996-11-01,295892,e7ab65cd2a1746c67050c51e458ce3f36c7b836c4fea6e4bc6c37f8340b5506c
1996-11-08,290762,0ae09256d39d1d93173c466d083f0d4844727a4c7437bc7a2ecb65d260ba44bd
1996-11-15,288297,910fa05d0c7596b75a023fc30f714fe7adfa52185635621dfc80b17fe5af6218
1996-11-22,283501,1546ccbeacac3e8ff3dd69e2ccf099caa0549f621b960ee2037be79defdc0736
1996-11-29,283728,69f2578688ecb9337e6ba7100fa9348079d084c06574584c3a8ee38d98261fb5
1996-12-06,282735,06f922dd37826c881085f7c7018920d64616a878e63ecd915eb492bdddf962b8
1996-12-13,279788,e3d948c8630b47716a4476f6e46b5daea79225794809b33fbd9e724679f323f2
1996-12-20,273685,ddf9f220b61cde0c4b84dfd102ae8dfb74140b0dd470f8d53e3336fcf03209aa
1996-12-27,276127,871844eb3363317d7bd29458e0c23a4ec9de5cd6ae0445de6d8fbb7b6ffeac21
