period,ref_area,cli_index,obs_status,source_record_sha256
1979-01,AUS,100.6444,A,0a8dd9c4b048ef41f9136cf6dfdf72631d9b17569686f2dd42d4a4fe1e35afe2
1979-01,CAN,102.1691,A,8fd394ecd373d764a7154d264e876125253f9eed5bb7478b2e401106197f82ca
1979-01,DEU,102.2084,A,2efee3a84f576ad4d056bbc922c80d535060d91df2cac39b089eef90c1822ae7
1979-01,FRA,102.1158,A,6d6cc24f2f51361843e54caf5ac4822a71788d5178fa4ee6a0bd30ff5a1628a2
1979-01,G20,102.6495,A,64ec08748b61e602b44e1e98586b347b45029eeb79df711738905f0fc85f8635
1979-01,G4E,102.5157,A,6d587d0ccc8cbdb31d645a94d5191d6ea519f93276cbe196bdccd3d008b37e9c
1979-01,G7,101.9578,A,12c427989d65de9ab98de34fab0f4dec29f55732cea0cdcd915ea2e43adbb948
1979-01,GBR,102.7044,A,f8dc0b41e69a7c9b24c90b716929160d5a9a50b95fac4ad45852e4f7fc36682f
1979-01,ITA,103.5377,A,82c4bdfdce2a305a96a9b6a898951775f2cb402d9d7328d2cf0fa1a204913bec
1979-01,JPN,102.1612,A,78543c9ff2b65d41263578e988aa5fa738386e1c14929011675c4caaa4864a28
1979-01,NAFTA,102.5195,A,1ea84f6b4df35c4b0ff84c686e0ca0586d09ebb6fd87b22ead0bc4e92dd6bd15
1979-01,USA,101.4451,A,8c492f79c005dfc6c1f627b50cb07569859efd229cb8cdc7958e6ddb5fd51cff
1979-01,ZAF,98.37357,A,17d54784ff5d6602a2f2653910caa75e80401f4be420706f3dbdffcfb6bbcfd2
1979-02,AUS,100.7244,A,ed4bcc68f0577f4d7f4a6e50627fb82e22d40998d440e656e9559233938e4b2f
1979-02,CAN,102.0162,A,fb6fe7e085af81d73f1192e0dc2f88472d26752267db9b6fd76d68a75b8e84ce
1979-02,DEU,102.3728,A,9941938e874ab8b33c143415d0e0dc26d0386d91af7a18d3bb1ff29e258f2819
1979-02,FRA,101.9705,A,985224ee58a037d41971112b948d24e30ee61902d601e09fd2d3070a33d3f083
1979-02,G20,102.6477,A,43ae828858d7006cbbe4672cbb899791026876548a922d29a4d5cf9c8b5011c4
1979-02,G4E,102.5997,A,28f7a0bdc05ea66c9ab98dc17be813bf67cc54091391f8540aa6cf24b2750941
1979-02,G7,101.9527,A,3dd596e9068291429e41d101a9cbb9e243ef53ad972af6913f0683bd07d498a0
1979-02,GBR,102.8429,A,b8ce4a5300b8e7d774d4f5ec1c3b8f272a131951a3d22b2f8cea5c3068f6c14c
1979-02,ITA,103.6759,A,198f1f8a646872cfa73a88b87216e151222616f147d54a70aedd9895f99e0081
1979-02,JPN,102.4273,A,48157f22571d153392321c0528a99e55b2912db8a32ec0a099ed46993aa2f035
1979-02,NAFTA,102.3476,A,5603c7c13c2f8983fdc3021dd938ccbd53b97620d719c26eb0086f7018276288
1979-02,USA,101.2732,A,b3b03889fe97f0e745a8d750ebfa56ef5e22155ab106421710f6063e82d39739
1979-02,ZAF,98.44653,A,15889eb3167523da95cdc04a2166a2daf839eb8d0f4478a953c3eb1e3ffabf14
1979-03,AUS,100.7858,A,39265d80ede9de435876670fef9947c0e53be919a638ccda8a39afbf30e5a3a0
1979-03,CAN,101.8647,A,a3300b604acd8f02f22b769e18b3d340cedea1d469f0ccf2bf26b2f65b1a4f9c
1979-03,DEU,102.5064,A,dae2dbde5db4e322f1c13b48adad5de996cc6b932d61dbe51fadc99710d4a743
1979-03,FRA,101.8376,A,6353e6511f2e15867484f6fe08b27058a47d2683b6905e7f9ccd47cd3bd2e8a5
1979-03,G20,102.6336,A,2a013b84ab00e76c75c12a7364ef04cd7943047fb0f263b8bf4d688afefb7be6
