period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
2022-01,281.148,available,,,false,bdf3541f0d20d66c6ce00b29f8ae69f6fb9ec5321daa4f1fd8c26b99fdb9fca6
2022-02,283.716,available,,,false,8989de4ff906613cf9f9dcc3f6b7fcbcf4135579eda6828b4307aaa4bf5dce14
2022-03,287.504,available,,,false,4041c31505cf2517e054388a9ba1ea0089108d96caa72e985d8817dd7ff5d6d8
2022-04,289.109,available,,,false,b2ae72a641b2de90a9eb219df95f8206de4eff0753f71af546150dd65329200a
2022-05,292.296,available,,,false,ef734b9a33e8f76c8495c8e9916ebbf2050c8cec58c190e20f1b634668b10fa5
2022-06,296.311,available,,,false,cec40fc32af5c6476c04d20e2ea2aa9ce2a33ddb5af3252a9e9c88db6049bbd4
2022-07,296.276,available,,,false,58a9f52d8b778ce5d59379724d179d031f201755263853be556d3c6f45c693ca
2022-08,296.171,available,,,false,bee4a8f786f04072ac9df563b7b0120269f24ca6b6bbb9af640a5cdc36fb7e64
2022-09,296.808,available,,,false,de1d68f69206497418b4682f0727eb2dec6a692dd4c14ae7854257a5ff5b1cd6
2022-10,298.012,available,,,false,17e5e749aceba83a4158a5983de3a88f8f378aec621ca2ee67764402c0e7dafa
2022-11,297.711,available,,,false,48f82a172287924e15268d156e2036e16ed653f66fbfe567dbbf1438e455fff9
2022-12,296.797,available,,,false,7657e0508fab1f71ba653e4f3dce94e0c200181d55e1ea7e8be0623381ef22b0
