period,gdp_millions_current_dollars,source_series_code,source_table_id,source_line_number,source_record_sha256
2010-Q1,14764610,A191RC,T10105,1,2ab09331a0264f599f3ec2aa0dbd646d99040fd3c74637df17c3d0f88a2c870c
2010-Q2,14980193,A191RC,T10105,1,da05c97977b4f2df3bfd6e67b9a34d9ab4d15516ad3f6c4802e0ae55591ac4f2
2010-Q3,15141607,A191RC,T10105,1,d8ead64db9d86a7f6846c0468c2349dc2fc6871d015f23930fb3796640321df5
2010-Q4,15309474,A191RC,T10105,1,71cfa36064985deb5c0ac96f9a57951116528733c40ec9dc3524f92865c75d5d
