period,stock_thousand_barrels,source_record_sha256
1988-01-01,333655,743fb20973c909c1a80bf529a65d49842b9af7155416a728a436a0c3f1e4add3
1988-01-08,320851,1ee2e32f9f4a53a17a7212ccb6c119b813508d7d3c96d62db9fc39fa8239b4ac
1988-01-15,320568,759e6935d4ca0a6d8f989cd244623d151f4947331f8c3c503d38c0d0446f8ddb
1988-01-22,319760,f59ad8640647245a2003d337f1ad98ceee31313fb4e566365481fc9681d5b579
1988-01-29,316008,a2571d8a4b2b6100de0e911b628f4c2dc4037c902b79f2e4e0b7286fe30079e8
1988-02-05,317127,bf7bf2a3cd61e72f32c7bf5154f4f7fe468533e7c68b58ae053a953a668fbfe9
1988-02-12,312386,68a1f92683ea438055abb0a4785b39d9025122922aa3afebf0e89a620f18685f
1988-02-19,320876,f6c1442641d149c84b0eba07600810fd02fe927fad8bde863318626a92cd3908
1988-02-26,324061,788d381432cba072756e94f4b5eb2ad6cb294895c7b9b3f64bdbe1c00d804226
1988-03-04,325274,7f40a9bb62b17542357fbde55152394bb465131cb21669688e037a1502b4f94d
1988-03-11,325188,479c3c1b8051470f75a11fcb9d6ba06f6425cf0167fbb766ca53e23125631263
1988-03-18,328937,9c5c1faf7a04bd991ad662bd21bb4a84cb4b98d92f1bdb847e6f395336933465
1988-03-25,327289,4fa22fb8bb229d1181549dffd0334cc36dbacfaaddef3a0baaa00076d6e5ee9a
1988-04-01,328537,389082d6c090266a54de9100e6048b886f9ddea26f15d2854114b803d2802e6f
1988-04-08,333705,bb865f10c9f8fd302fe4235ddecb0b38676674365d049767ae7e3d15260c3d1b
1988-04-15,333296,20521ee3a8e5d81e560cb7238394faf2995214c1f0f6c41a7cad545ad45739eb
1988-04-22,338077,f89ff6af0fa112d36ae072933046b4bd6631200f1edc1d8ee9c9cf612d32c7b8
1988-04-29,335042,b181754ad011c35c1f9f844f608165581b6cd5ba760e5e2b2e7e1e1208961d8c
1988-05-06,340335,0874ff21fa6c1cc940e3e0858e64222027fc2267a73265aaff9ea183132c60d0
1988-05-13,343544,50ae24bf43ba57d25213b87a07ac33c5a6558e213d5cae3700e438766fd7a909
1988-05-20,345463,317cc3bee6fae03788749cfd5f9dcbab1106523207c2af0997e63dba3fa7ad57
1988-05-27,341208,2de5bf41c2eb53d289759536060661ebd3c848eba87fe877bf3d84efa9742af6
1988-06-03,343019,554c46b4cb622c7c3b80f7ecf4057b3c81039bb03b85f0db5b81b968a2b9e614
1988-06-10,340370,8c3533ce1497c59ba51e173af0c72d2a8d990abdc0e1a431f9ced9cc6ce89b15
1988-06-17,344567,3a1bca04b4fb7b968f85d59fb83b3bdff3c042fba2d9707928b4940e71b81d1c
1988-06-24,341838,f25a4d955df289bc93905088bb58b8eadab3ed39704d72c2f01075568db0857d
1988-07-01,342310,963bef00e1daa4e1febba2fbcba731c1133b24b30b86bafe5a23fa8d96d0f624
1988-07-08,339783,a18c0554fdac3a1b4e8cce3e362365f4c0ec6180dc11a9148746234dc63c6398
1988-07-15,334259,772f8a36986b2c9c87c04c5e50e7a66c13244989f6ecc2d42aa06c2aced5494f
1988-07-22,330751,c117df38115b328728e9d122419bf70a38923e78639c296a2e9a1f5bdc2d643a
1988-07-29,332365,6911f94bbfa08845bd29a8e1c72ff96e40f5e59293250d6766295fa4ea3af8c0
1988-08-05,330335,adf21541a56018ea2bbaf87047b46492a167500a62f00cc789d43e90507a33a4
1988-08-12,327971,67cbcd98bb9d1c0faa3a2c1f20d8ff4f73e7af015dcbf7cf749950a7a5c058c4
1988-08-19,323205,ed5d5089907beccb95a5f139014e8f7887f6d6dd0bc30eb39464025ca478c04e
1988-08-26,318511,877660109b2e06ec1258beebe3ae9f8f8f5320b8c3b5e23ebf8b98ebbf8fb57c
1988-09-02,313544,ad22f0ecb7e500d5c3a49e529fb1d95282d98ab60c5a6f7a1719691bcd22c2c8
1988-09-09,311683,71135d2934d0bfd6b1919d9edf93bbc2f17aeb9218f6cbdbc6440a1737281b90
1988-09-16,305143,b019b30b82bf084b43b669cb679ee03c1f893b460ad8bc8f52667d79c0be6f07
1988-09-23,300430,28a7c5507ee9e89e833753bca44a83e28fc8d8392a7528a96f1788a33c922ff0
1988-09-30,306036,bda4959e3b9616026075f93dd7769415476b4d8075c903c931de4e287663cc62
1988-10-07,305450,0788496f3a096f55763f15f2d35702480b7f1cdfd01f0a2cba58cfcbbffc548b
1988-10-14,310447,d36afc401dbb75d7e15f01a179b46e364894511674c32d40d7fe49815a5df446
1988-10-21,315085,35b3cbd9cd43aa0212e309483d7924fb4de79f22865139fd4ee22cc831c371e8
1988-10-28,316401,e19973f5b25f197d9b163d66327516fc5f45fac19dc7dd5f269c69699d93574d
1988-11-04,322097,b1b3252d411cb40afda2e70ca8e1d0275d0de57920a0caefe2a2ef7cd9c02c30
1988-11-11,318675,3fc8d9c6ea4cd16b2524e4b23c103dd1071c3f0883a778851233acd613c9b39a
1988-11-18,326823,45177c5e804090fd230d65ece8ae3c61fb3d1b1d5684f04ff0ba8067db7f501d
1988-11-25,322409,abff22ac1aaf8bb68f4695bb569449b82b12b8b1bd4213bcec25ecf0342c2435
1988-12-02,319749,a28859a2b70fe20af713af6d645378c409d74a6178ac8feb0e88f1120a406016
1988-12-09,324248,fa3377e0b40f8303d24a071608f6b1eb38b5ab4a2add3d38999992144dd2a044
1988-12-16,318990,c0b905ad581da5c6bc5d95cf817b78c947eb8af128d22a10df33c36e4165fcb3
1988-12-23,314765,f2d33643ae76993e807c7a54538eb3cb68d7901035edad5bae5825f1356b5d10
1988-12-30,313654,518ff80e980cbd6fd3623988a257ff46101beb6456b5acee7246e7b4a51b7f43
