period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
2012-01,226.665,available,,,false,72412fff19583d0acd16dad323455ce5f95c1e6c5da3daf82d355f0562b93d06
2012-02,227.663,available,,,false,59096bf5a403b2f60cbbd5629783693eaaa31b09c727a4a02ccdeab0a17aee85
2012-03,229.392,available,,,false,e755d11d86b9189ae8e14e90462664b62d0e0758deb3ac80d302ef73e2a4e424
2012-04,230.085,available,,,false,b9aaaff39d68f959150b8ea4bf960e8a58088f0455e9c6b23a7320bb7895b1e3
2012-05,229.815,available,,,false,b301592a2847cc041bb8b38a0bfae84f9efd46c83f8b7df3c59e8b18d3816dc3
2012-06,229.478,available,,,false,b4d4806167b49c1585e1e958237f142c146ed0959495fb2acdc7619bce3009b0
2012-07,229.104,available,,,false,6bf8794424a397f7abef9572b62fb53d7203a86617839d6216b7f417386f2c63
2012-08,230.379,available,,,false,9d2bd925aaaae4d133be20053c151b5db5c7cca3524e72d4919f71644e4c46de
2012-09,231.407,available,,,false,85ff51581e0c3cbcf9124ce378a06d95ce1862757ad669152b5e0f5892dc2e66
2012-10,231.317,available,,,false,6d0f3ad51349b9eb6df924adfe1e9eab24eac8f751b37499fe3dcb1dd365809f
2012-11,230.221,available,,,false,800e009892e66b0035beda565a37373d4c509b86f50d4be4c71315e5a1e84bb8
2012-12,229.601,available,,,false,9b242278c42bfc852847990bb683cff3fd66e969f5b2604908f8bb2f766ab259
