period,base_rate_percent,source_record_sha256
2015-01,2,b1a715b5515d1f0c50980de87c7905bcef4238958abd06a753373b9d9f04c0cd
2015-02,2,52141f6190c541921368d2b41bafe346b74833eb22f2cd23eb097daedf3b5b2d
2015-03,1.75,7f7b5b8ac29694c17c0f98b81178420e4ffc240e96ed6bbe4f7470a84deb035d
2015-04,1.75,a6309cd72b679f2be4a5780248f77d4c799885ed5ba78fa2d57d9f9e6290c63b
2015-05,1.75,d35742c5ce1c78bf2bb77e65e08bb2c6fc7783a7eeece5958d990f71a695e3b5
2015-06,1.5,54df6c92e2262fadb6a334ae32bd7d38d42fc1bf4ea2397851bb9bce86ca8775
2015-07,1.5,09685afabe88a59fb3a964f6539c9a0a17c78fbdf2d4700bc86d9153c90b769d
2015-08,1.5,bbf8a8f06c0ecaf7f2f9148c39b72cd1568d9490491f48696deca174b346673f
2015-09,1.5,fc388a25d8b2c2b7158c3354b8f8073cad029838a3c74b07907cdb43bf8f3675
2015-10,1.5,1ff4615e0e98b9672427039409e123232240df900edbcddc5de9cb61b9d95f59
2015-11,1.5,1065122e90fb8761f6869cdde8e86adf0332bbe98b43675ae03845b12f9af8d4
2015-12,1.5,f2ecfdb3f7f5993b35d06c5ac4b6b758d829a926e13b786b261f40d054b8cf22
