period,base_rate_percent,source_record_sha256
2003-01,4.25,1a516d6906513dbaadf9c8dfaa80f5e80303b83ecfccb1bdb1a4f0ff139ad84b
2003-02,4.25,d59cdd87d6bfe2665664ac91d85fc186ff0bc403adedf1a8813d882f8d5c9534
2003-03,4.25,1841aa058c79b643c1fd6277fcb74e8343417700fb2e0df0b999634fb1c7c984
2003-04,4.25,dda686ac1e3f763ab65d1247a0b8d92e362e0adee603f5ef586e590d88f75b12
2003-05,4,9ba630e11a2201acaa8cb06b756c9ae510d8fe6bafb75c5e231282188dd47707
2003-06,4,9987f81c7dd162f40f74b3eacb4ef782cf88e4ddd4b8002943c5fbcc8c1a7d93
2003-07,3.75,736c1a7c52fe87bb07a433bea94b56b14b783a077a9fd7a72290796342dfadac
2003-08,3.75,24368541bfcec1afaac17440acbad4f04e361832d4e88967b6a5cb30d7067fd3
2003-09,3.75,6056842b502bbd5e799e6a54ec07d3ac75cf98bdf171498033512cba9fddd270
2003-10,3.75,b75f7605195eb6ec46606a24fd820a20e6989e3a1bbe759eee947fa2b59a1bb4
2003-11,3.75,e8282bcffdd95c60b8867c49ca84d87cbecb66551c685a950ff3605bae0c4bc0
2003-12,3.75,22a012639dbd74d8de0c6dafe20563b54469bae4d420d4b178eff21ad7a96e2f
