period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1941-01,14.1,available,,,false,eda09d38ece21f62fa3fa98af006914a1eeb35614d1d860da3d62cb763a9a580
1941-02,14.1,available,,,false,c8f71a84aa2fa51fe83324a492743b1f6322f8114625e08531597df2a0b5021a
1941-03,14.2,available,,,false,9ebed7a3783a88b5d1efecba4ddcf2772913149f5a5b08a690a68ca20164ca69
1941-04,14.3,available,,,false,8a28b0de1c0914d8806c86f5719cb58e6478ca5fd6c3d23dd8923c3ab01068c9
1941-05,14.4,available,,,false,5d6f1d7d50778c205e5da2645f72bf6f36dec528b3cbae56d73d72dc0edc8f51
1941-06,14.7,available,,,false,e5bf252bf1cbcdd641f96278c1194932561edfdef5c11c090d51bc22a55f7714
1941-07,14.7,available,,,false,6c69024198a7bd5afdd8b9cf5c33f2a1f5df5a0fafc04088e725f65f7c206c59
1941-08,14.9,available,,,false,c636eb43e1c41b0cc110e27bd5a25a0b0cd72a8ad706d1e1aec1bd48bd3c9683
1941-09,15.1,available,,,false,202dc037d26851ed0e4f0fdb6f90dbe232e3e320c4e0014535e3b31d31f05faa
1941-10,15.3,available,,,false,210d53c527db132aa11b57b75234e66f0c87444616b0927afbd4d93270226018
1941-11,15.4,available,,,false,38329112a8d0154726b8b93250b8b98534c0969f2c4edf452fb923c3bbadb359
1941-12,15.5,available,,,false,9aeb35f9d70410ddfdd2715dc0f59d70831e712bcd8f5d696312e2eef46f6f19
