period,base_rate_percent,source_record_sha256
2001-01,5.25,1b25e43536631f8f09c816055f350fb32917ec0a3cc4f0eb136617e2f4c4720b
2001-02,5,e804fdb1ec24bf4a02bfd80dacbd71a9f05ed7c12c9ccaa33db8371bece43706
2001-03,5,2e84344d017c3ecd61ec7eae90bf04ce9e2390cf2f981bae389be4d2b7748fd8
2001-04,5,56582707ff9792f147f51e038e62b26f7b3a1e7300d2c72aa4958fea81dc0644
2001-05,5,8cc42872530cde43f400953bf589b1b9c90dc7b5e77ff9df3a5c05946ee26bd3
2001-06,5,b65ef4a4f785aeb98bee2b6a01f31137eab0bc2c3bd94e2087601235731cbcad
2001-07,4.75,51e674d7810a8c1838f61f4263b4f70a932589310d8f399e2988b5bbe9e4e7b0
2001-08,4.5,403a7ce3b63e07dd391fd2a59687f0606633415ac7a3a06fc1a68092e6f44c57
2001-09,4,4607a494cd759e20f31e2a635e243619ef9457657953012c8a9ab6137f59f4d4
2001-10,4,195309e7c3197adabdc4947f22d5888cdb5a960207bb9f4f7ba8c661df04073e
2001-11,4,565899de76ec38ecb32171b761a505632f9c7f04039ff661a315a4a681862a7c
2001-12,4,67214c2d11662cfac35423678067a5d6f96b8db56dfa50863dd9dfbd390a7e2d
