period,stock_thousand_barrels,source_record_sha256
2018-01-05,419515,aec5d815073b19107fecea8d3be3cf77e45ff8813956ff132f20719cf93cad1d
2018-01-12,412654,e82a6e6f5a36c3793601f8e0a61bd018302e43ff5e40ffd79990c87692539d87
2018-01-19,411583,59e0ccbaff2c23a93472dcbbc44d79dc51ca78d6e24bddf23f21b8a1c5a2d28e
2018-01-26,418359,25acfba6fd03d45b7555c148eee970b7c15d1e4ea7c1a753505b385fa2b1a075
2018-02-02,420254,e830e0ba6ffc7beb79439679704551d303dbd0ac9610f17617fb4d3e1f89c55f
2018-02-09,422095,5e5e55d97ee7aa3196a90ae1305b515d01545f74569d56376fd4b354dede5a94
2018-02-16,420479,71cb5c89852ce7e3f90c03707fe5d22e28b30a2c03eae4f059c267bf38e2343e
2018-02-23,423498,d2db96b4cbff5bd9bc4ed66772e79606ba9370e9dfa0e11b12f0473bb451684b
2018-03-02,425906,d2b5dd3cf92564b70059ce604cd0b9383a6b510799aef2575444dfe422fb0779
2018-03-09,430928,4818e87be3e891c4f6c40f5e8d42e6e0a7225cf8d0e79439d10c4b8a7b1197e4
2018-03-16,428306,5445892402d4a41ecc7f36cfc37c8c6de9cac189845f24dac5964899dda3cd30
2018-03-23,429949,d7b464053f441b59b06b9be070e0ef4b6aef70d357edd59c949c9a245718ce75
2018-03-30,425332,b57d6f58ec376458e0a3d5fdeea7119e18c239841e24019353873c636d71b35f
2018-04-06,428638,0426e663945c96e62e2e21e23035ada7f2f471e714cee269a9a7d733d054a935
2018-04-13,427567,0b06a9d98c769fb93a11636787db2776c521772d26255f862c643c8eaacdcf6c
2018-04-20,429737,17b335260a069aa41c4441b42d9f4cf2c4efa087553b8f3534f6387718fcf72f
2018-04-27,435955,62962b72b75660efb281ffa94342082b6aceabaac3513bde543924366d64aaca
2018-05-04,433758,a974f06acc33b35f3348a09aa88cf6534908840729bed8b8bfb7353abc678d0a
2018-05-11,432354,e929c1d7c873e84f41dedc77a57f51e9597bf670754f26b39b13eb8c8b07d660
2018-05-18,438132,e4f0c11b088fb3be6fd48183715291584efa245e04bda0ef97357559ce566bad
2018-05-25,434512,9f71da0640cafd1a2a66c813438b484948c6acd7a5d0616f2e70e82725c4d9fb
2018-06-01,436584,7e41410d42ce6967174a965f584bc024a0da551c247d08db6de33287045347e2
2018-06-08,432441,2abdb693d91cec553b34750379d598c5def0b1dba583640f2e8fa0781fbc46ad
2018-06-15,426527,c00957af26ce411f100e7b699268ec298726ee5b1c282ab58d18769d0678cb72
2018-06-22,416636,09f97af41cbbd4530e6f9143d063536bbd82b9ee2c71da8d449c80c8e514e611
2018-06-29,417881,34556fdf940fc40e42ccafeaf087a7e000fbd76f28da0fd0f8277939a20bd4b2
2018-07-06,405248,547c6d95a17922cc0f144272712231afe5ceacfc469fcebc616a88eb8fd2ca6d
2018-07-13,411084,4a31a69e746ad6c49da4a54fd17e90b988f2d0746eab65e02b6ac20bc9065269
2018-07-20,404937,a68e9bf50d3fc5c2717c868508256f0d347c9ebae042063b05ba0b75f166640e
2018-07-27,408740,0f849acd1259ee01278498d5c98d62fa3ac5e727efceceb41db5cd62a4b9762d
2018-08-03,407389,db03d74239224723e4e0b8b70e463570aa7f3dcb7b9e38d750e07d83675f5b5f
2018-08-10,414194,74a4974cb1ae7a2cc02193c0aaf9db5d9de8057f794c91ab8840334411a705f2
2018-08-17,408358,22f101b5a6d5b13faabf36a29feab2de7687e8aad3de29cf4ba8e68d3cdc2737
2018-08-24,405792,d2e36db61bbd40314d43d8f7ba8a795736d4c73d3b20f5bccda437247ac4a4c1
2018-08-31,401490,8f2369acab400749a237b792e9ffacb95e6e9c57ee722fb1455462ac134c8aef
2018-09-07,396194,f7ae7996306a9c5d8a58b6f61f5eaad7a3a224dafd2473cda8b9d49093a206a5
2018-09-14,394137,ae48447ecf4767a8fe5eee6ec46b44074ca467a4494a133c3e7c226bc62421df
2018-09-21,395989,7498c4d05b16af07aba2eddb7dd5cb08648deecf05626e45d7766e4be342bce6
2018-09-28,403964,0da91f99bbcb36354a0fa072cfd09825f48e951abbfc146a468834c4ca7376bd
2018-10-05,409951,b2000e204a4042ffd85459c2ef1ad10fbeae07c04d7ba2e9d2fa404fea4c6986
2018-10-12,416441,8efb6b467fd908443dd776eb3ca09b4e5fea3f750a6f9b199f812d5341edea6e
2018-10-19,422787,651880edc15c0aba4082b6e1afd2d1b5ea82a8e54a7318a854e08c7483adb088
2018-10-26,426004,15e275f022a45f758c4b9c0e28847e9cf8e7acbd1202eee33b36e51d130bd8ef
2018-11-02,431787,0ea275723463f07bac938dfc7dfd33b4a829523f0b659efa5f13e81863478e97
2018-11-09,442057,98beb07b476c19920a5f1064f3db4b3e4692384975bb38b485d39839e5000146
2018-11-16,446908,bbc73ffb152ba770453450b2750e2984a9ad119b5af1e35aa36c5e59a3cf7063
2018-11-23,450485,744a9044c9abc7ffeedbeee3476b6e44b377757ed15c8925adee873d90ca9bc4
2018-11-30,443162,4f14f3790ecf7b63d7bc636525a67c5c7ea827a9a56cc937ae0a33036983f21d
2018-12-07,441954,09048700ec919f3e98720f8118ce6a822f2bcc212f111a339c234d58873cab0b
2018-12-14,441457,d10b65c1fb2dfa7f28d46748b26f5b7c600aed86eb826ad36d71fe4c7315d6ee
2018-12-21,441411,a0dbac4300899571a0d826a54acfc1e637278e1469455f0824deaea152278271
2018-12-28,441418,b44e0ad7aaa72c3b1fd74ef26aec75602b9e3c1b64121d4f3a1ba24f1de983f2
