period,base_rate_percent,source_record_sha256
2000-01,4.75,d2877c54a01080b43f2cfaea4db2b5955b26db28f18ed40382ebedafafe24e26
2000-02,5,e1ac9678f306845a3a6e120b4ddd4cf091f00938473d4002af22f078ede63655
2000-03,5,bb692dec8014274a896755e18c65067feb6cfe44b6eeb738055530d21b990c33
2000-04,5,fb956f5c5123b9a09478c7ab3d68c3ffe5c5b3eea8db5952201c6603e0094f14
2000-05,5,e4a5de89496a6072f31752155d89952f99faa665438284be207adbe6fafa9d1e
2000-06,5,aea0d6851b9d127beffd3e3a1dd387dcc6cda0d8e58b3bb1843a9eb5a5036297
2000-07,5,91f300c48b64af003122d281aee8ab07dc6e168fa89e5804456458b348351128
2000-08,5,637985fc9961c4af680b1ac1d75a11f1b132b15303d9fe2ec2efc99f8ab47f0b
2000-09,5,289a336b825d1ff0818f0ce9cfd39f35c23459a3428c19fc2e30bf640ea52aa5
2000-10,5.25,ebd84c6d0a68ff319fbad12a2cd9ab80a60b75fdb697ca4df5896386b2f880e0
2000-11,5.25,0a260b0325a0602f12b23fcd625041293d5b3b7b2c3496d0a59b7a9ccfa8d257
2000-12,5.25,944b0f5232ae54a2018324c670022237696c72ffe20d965dc731f362096f4c4c
