period,gdp_millions_current_dollars,source_series_code,source_table_id,source_line_number,source_record_sha256
1975-Q1,1616116,A191RC,T10105,1,58fdbd7b7fa3ef216ecb399846656c766eac023901c1d86b8f744bff5fc9b302
1975-Q2,1651853,A191RC,T10105,1,a1cb83ab088075bae4624101ebf12d79a0de58fa9c940355d64045248c9eefb4
1975-Q3,1709820,A191RC,T10105,1,2c028315cb765ef79dfe17b0521bd480f11469bef5d2553d2fe36d0fb02ab984
1975-Q4,1761831,A191RC,T10105,1,30dfc9b72c389064df58003c6489dad95cf4a9e41d13aed0d8e13dddf5c705ca
