period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
2008-01,211.080,available,,,false,24edec65064186a4b48f31c497a72a86445eed1b515e96343a82be11f867f8b1
2008-02,211.693,available,,,false,323e9dc3eff5d21374f1c61a4f2ced2e562103904d839c87e2aa3d697167c0d5
2008-03,213.528,available,,,false,80d8ed269423d54ad6161e09a491b6bb97f5fe56477c8b2c614e6002d441694f
2008-04,214.823,available,,,false,108cadafca083462733998ddb7ed9a7cf228538666b7f47d7088de09974db35d
2008-05,216.632,available,,,false,2d8ad4e901475f9aea15b6c4bd6821cf94ce89137e92e29dcdd2d506103898bf
2008-06,218.815,available,,,false,fe0f1c7a29095caf008684ea3f67c63389c7e04d8e1c953cc8af7a789806619e
2008-07,219.964,available,,,false,ade2ba37520d371cd519a37e4fa8f9784d91a9d45cda5e08049cb3e105846940
2008-08,219.086,available,,,false,82445d80a62717151802cd37a176eaeeb5d89413e22b4d89176aa605788fcbfe
2008-09,218.783,available,,,false,3ba5612689f3417abf6e22f0cc5ee498e53d189874262170a6239502ecbd0154
2008-10,216.573,available,,,false,c5ff70de2ed74a092b3c83077d9ad8c1626ca8d469ecbce1e9da368b398db2bd
2008-11,212.425,available,,,false,a5ff922d2c426cc1c1a373830b847fb6b384f90c03f23e1b40a41dcaaf3e5ef8
2008-12,210.228,available,,,false,3e668d1745d28d2d9ffd8a5145edfc6d4688c9fde7335c62a7cc65cdd9028f39
