period,ref_area,cli_index,obs_status,source_record_sha256
1975-01,AUS,96.60915,A,2a8d40f2b5abfc47ef536188b4632fedcb25d6d7721d1d697dfabfbd709f9f1c
1975-01,CAN,96.6626,A,e2929caec1e0db17068df9dcca591ed369e5ea6241cf39b57c9144444d825c2b
1975-01,DEU,96.89189,A,b2a16b218d94a035bf947ea97f1d5dbcdfb751ba8c23c7e00e938923ccc7fb06
1975-01,FRA,95.52866,A,ed2a0433a35a14e6c569598a0b37e9f4ea71c3d2eb6610cd88e01e77384143e7
1975-01,G20,96.22768,A,68274b78919819d4565d7329186bd8ef5cbaed927ab8efc63110da36108f8ff1
1975-01,G4E,95.41367,A,f484764e58a473f15840fd2554ae9760d73d67f89a3dfcaa6312f26a042bea47
1975-01,G7,95.34782,A,e2eb1527281c0b694b3a39e7ed71fba3fd06b98dec513025910dc08e84db7faa
1975-01,GBR,93.79129,A,f2bbc727e9f1e5578a03d4f8a4430086d0428fcc431b9edf82c6a18888a7d0d8
1975-01,ITA,95.04378,A,3f2314a0bdaa84704a1dbf91c1c046391b4075453941c5891c83735145a139f2
1975-01,JPN,94.53438,A,78ff5a961b81c7f0bc20a18037ad80ace85468a641aba01a3fc503c658d3151e
1975-01,NAFTA,96.59425,A,bb2f242e6edf72bfa3d9c484f316eb03c2c4c7c3bb658e601f630d100b15dbf1
1975-01,USA,95.54244,A,a96447f3efa3240f621f09f6e6156a6a980bec4fa115243fadde4313cb660824
1975-01,ZAF,100.9753,A,42340f16d58dcd7e80b5877cccc0d32501b043685612c365261cd7f9ce529f34
1975-02,AUS,97.0551,A,44d9f58dd56957318616fde024aec259633b20709d37668bcc846f2de62658fb
1975-02,CAN,96.91442,A,d7f6072e6f8ef682bfb1e5d263fad841113d1a07d520784de5417ccef80bf364
1975-02,DEU,96.97528,A,a92d414eb51a6ebcb663694872a7f5af67eb78d173e087c8e0bb0cb691d48ca5
1975-02,FRA,95.52814,A,a16cd4951a183470707e6cb789dcf45bf2b07a485599a319ea38a1fcde286fc6
1975-02,G20,96.35942,A,2af282c14d5c5e53f80157078aed961d79efa235706dabb53f7f452adf3b9562
1975-02,G4E,95.57577,A,fb31f7ceeeb8c70e75b83196995d2aea3fe8539e4b8384a9d6138c4b5ce5a99b
1975-02,G7,95.47265,A,9c41f015fbd251dbc7a5fc9adaf9761d46f5a799d8190cd508eaecc2e633d009
1975-02,GBR,94.28813,A,dce9d8ddad48152837ba79da8c8734feb41c9533635cff5ded884847701f9c4e
1975-02,ITA,95.16721,A,43d29d4988816e8e891f4424833889b109c1dae7e7fcfecff04fbda467c8dc26
1975-02,JPN,94.58494,A,fdf10e7ec270f647e833e7bb75c5174b599784ff35bb194886944993f70c23b9
1975-02,NAFTA,96.71504,A,b70c6892b7c83055359a0d851f8862230d230c08ad0a3ac0fc4feee67e5bba6e
1975-02,USA,95.64894,A,49ac54ee371e998c3429b850b03de85687f0a09f557279c7d63177a57c0f28d6
1975-02,ZAF,101.0518,A,e79ed57597eb1a885654ac260c360596a879c21a72d17d72786789f5f3247189
1975-03,AUS,97.51059,A,65987cae0e582f47bbf500f0a64b4faac1d48dc2524d771d5245ac92d1aac36e
1975-03,CAN,97.29661,A,9cd0ff521bbf93f1dee9bcc149b95abe62b73891e318ae44489a75afaa00a9f2
1975-03,DEU,97.18777,A,2e00dc70a0c86c6b1fb4686212c8c8e0ac5d2c4550c36d0437767f0b8d20e95b
1975-03,FRA,95.59164,A,d34037144e342634f3b67171995b440de492ec1ced2b6ac2545ff0dc48c2b9b4
1975-03,G20,96.63458,A,51ff6248c807fe24a993b9ecade0b52b504d9451ff8461a4b55fc54e47bd396d
1975-03,G4E,95.85017,A,af25375a5703dc690042d8ba387c084e386df211a14a19568c19b09c68c1a18c
1975-03,G7,95.74406,A,5d30646bcaf56b750f3f608f8f4539822b785fdabf224152b3e6e14195e2e8a6
1975-03,GBR,94.89584,A,1e71b1926bcdb0b86cd2fad31e4860be77c7a3c5ce229d2ee408233979661082
1975-03,ITA,95.42673,A,00cccfa7ecc7d4834a76318cdcfb9f3faba130156c35f60e0109044f09033911
1975-03,JPN,94.80941,A,ae1bbc7a5012cef3d6bf89cb9dcdf73457fd5e3792c2252c403ae88b1fa313d6
1975-03,NAFTA,97.00297,A,c1a66f65d7d18c90ffca34713b0322c2b49027cd98b7f9a493c90bddff1b25d7
1975-03,USA,95.92441,A,5665846a5c5365866c94b1bae51be09ccd99b2ad0913595abf1295042f7141dc
1975-03,ZAF,101.2075,A,7942a9593b2da4b26e8ad966fabbcd32f39b59fcfaf53fe8a472902195bb8e0d
1975-04,AUS,97.93027,A,d97acc505681244a4284b30433501bd27dd567f2ac3750c83c675b3ddfe351b8
1975-04,CAN,97.75936,A,a83f7678beb9705be34b5978399fd63c0b1e121eea350b54a7ac76400aacc5dd
1975-04,DEU,97.51013,A,d121604e27dc474930387be361252012282e379ced17fbd7807355247731205d
1975-04,FRA,95.73271,A,be0a26d5aa7c99336d0187aff351f2265e609c2ba5f14167ac03fda9e24191d6
