period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1940-01,13.9,available,,,false,b5306f406a7172b2c805eaa633110cc407d898fa0bb64c1fffabed1c3bd2d27b
1940-02,14.0,available,,,false,20e5ba1d344cae30c0c44bf91b35e32b107fcc77dd1c9818017b87581e42abb8
1940-03,14.0,available,,,false,0fc66170e1aed825d6d5907f57dbaa16e5ce2823ce2a92351a719d80c48818b1
1940-04,14.0,available,,,false,35ad35ad01ad66fe3b8a669418bd1e4d9edb01e4320237fd887bd5528a8b0c92
1940-05,14.0,available,,,false,83fd61b43611943785e777a117c464f660561aba0ebc657c881a537b9e3eacd2
1940-06,14.1,available,,,false,3fe5638e030bfa902ea1ce516eb6946f248dd2f9a2bb1bb86e64b1bf5755fc1f
1940-07,14.0,available,,,false,ce0b85b1653922f1269a24d17687a34be69f84c513bba75099e6463d688fe0cf
1940-08,14.0,available,,,false,148ec5105ee2675df96fc86f0e690ef2182370bb7e2b6b3c000e6be37506d061
1940-09,14.0,available,,,false,d3e84a710c88c5d7bf5c3b0ca30bde39dc1dc64b1b8f63ff661fcf6b021b98d6
1940-10,14.0,available,,,false,bbe76551187c5e94f0bdb9cdc9ed3b56562534af44ba1a117cf3980b37c522d4
1940-11,14.0,available,,,false,ccb4adab8d322173f6b8d3a025db6e75212451404c6a14bf233ce28a5caed025
1940-12,14.1,available,,,false,82362c4b63a46c9d4dabc9b3edb969828c638d9d7b35fdf7281625431ac791b8
