period,stock_thousand_barrels,source_record_sha256
2019-01-04,439738,a208c48905a81e36f34fffef9d75820e62ed29279e71f3dea64f2b7f373195b2
2019-01-11,437055,0aa4a162ed249adb18b023fc7dc2732e91eaafe5d9930ee3413e7be52a1da7a6
2019-01-18,445025,7152d96a0faf3b2812d1bf81e4390894a885af3caab43ae1c1997b5d65aa80b5
2019-01-25,445944,e7f650bed19283b769640f60ada96aa627ebed70f7ab37958bf3327dae60fa39
2019-02-01,447207,c8111bbebd4fd7ab595ec05dc8f682bae1258ea436b700fb60ca12e05dd24077
2019-02-08,450840,49b89ba32d5f3929d9c354afce66c417cc39050d0f465471a61b6663a2a51ffb
2019-02-15,454512,221b96a7ca735f3bb43501c3a044de7d3f09d7b23ea5c4f29de66fce6a0179bc
2019-02-22,445865,275fd4dc26d3c7e2cb56eed2f2b9381bebd49fd8f2b0c75ded2b4a11d63d7fe7
2019-03-01,452934,7370d6162e86484cf271d82b74239f26b17eca0d8a8617e57d23094adc9be45d
2019-03-08,449072,d96b0ec9e43b6503482cfd2fad29e1922ccd75287faf8d344c2f313420a3a91d
2019-03-15,439483,bc4167bc5c0d2a3e5c9bcc129dbe6559ca472db254451dc1942db9551dbb2b21
2019-03-22,442283,661920290b6da1eaed0e097240a96d3603a48c2869d533a4819877c878fe619f
2019-03-29,449521,ce8cf695fa0de6c467b28925b2febd903c4d495dad4b0799e581548dd884716b
2019-04-05,456550,17b6ed9133c1a228f87e0c7316c6ac776a6aceca5eb2b0c14df14b83936dec9a
2019-04-12,455154,0bc669084d4db1ab6f0449d520403c2fb1be709cf9cf59ed159b072b9a9b7573
2019-04-19,460633,45f20bbff1e31555e429c78f6b6e8e3e05af4425bcf97716b41bb4ab39cfd67c
2019-04-26,470567,0e603f76d1ee6af5b0447ca621bc00631ff6d35985b9612a42433095a8e48d6e
2019-05-03,466604,3a5e42e96f8432e1e47dca47b5613c258d50b7140cbf193556990a378f25e713
2019-05-10,472035,f15ef0064eda1976ac9bd7232f4c7d9e670675b85fd9c3cb797565650e6d7587
2019-05-17,476775,a12b7d07c7c95024293178fad1928b71d1efeda98331c12ee8da5af13117d9bf
2019-05-24,476493,d4f62ec2617d974c8e5bceb01c6f2966af3bd9ed7f15eed11d1f9dcbb0a129d4
2019-05-31,483264,0fcd782242a4e0b5131530bf2645d1e351faa2811d0ece9991a550d3a2267348
2019-06-07,485470,114430ea19b1f922685e9557dcd07ce62664a6d84cbb4375a8bfcb529edf0cfb
2019-06-14,482364,ca2e0d11408eb077d863746f99ab3c38890b27bab1b9d1feda4fd003eb27b40e
2019-06-21,469576,63fb8e365a6aa8c528a1d75ece0a712f68206444b0a7c063f585fa53dcdd17a7
2019-06-28,468491,d84184f096c260b7292d3a6bf283a867659515b1e3d3ff02178f826bbdde1958
2019-07-05,458992,6425bb521f4415c6e6893f3bb37b62c9470bccb094817d9e1729138939abb6c7
2019-07-12,455876,85d9bb1f21987afc5128c3dbd79369a970ab74e40ba00731f1359058f54333fb
2019-07-19,445041,d7d38788d14b5d1a9e8e51550ebffb687bb53842d597f4d63c153268b66e44ac
2019-07-26,436545,e4870e088991d95c2cbd5a15c5dc9f149ab2732af34a79cd40a87f9c219e1ab7
2019-08-02,438930,bee204366ee3321979f96b6b75be8548d78afd833eafd83028c7f30ce24dc22f
2019-08-09,440510,f9f1b79a66cb425f742c4d444e0dea17ed9c4f36e3b892aeb9e1bfcbd8c5ef46
2019-08-16,437778,279cc7867cd6bfa5e83811924380da7fd0e4e36909ded803c6c7c9d173a29ce7
2019-08-23,427751,673178b9a2353de9b8d460944f99d4a4eaf259b8b53190223c7165cdc3f53826
2019-08-30,422980,af91d455dc64ffb2792ca1d33923fb3cf7d2efe241b9e86932e613738a8031c2
2019-09-06,416068,7c1e4f18431dbea80a75b73fd932f97d071cbffdec6f5a4a8535924dc02219f1
2019-09-13,417126,7ce4952309d265829c4c50ffa6dc9410b4378f55ade939e4eaee2f6a734becd3
2019-09-20,419538,1ae57bb1f4920ce48c92e62a402523fa9e244dd7c6e88401757f44530027e774
2019-09-27,422642,d47dc07650fe52ed874ec6b71644be5321990f20319ea901706dec332c8b2442
2019-10-04,425569,e316b48b970f93e0571a0959bac49e1016f666c096e4311430a2f5d7e0812a45
2019-10-11,434850,0231ef9f7975ef8fd8abaa181bb3d8f28c9432a0c3ca81d95acce4e3721fc5b2
2019-10-18,433151,685bc16d5a607e435e86f47ee27155afee9da2e5987825d0743386a07d4b4d94
2019-10-25,438853,02c4683003a6fe6dabc9312e95efa94f230dff340c81868d444ba1f0084dcb71
2019-11-01,446782,69be35662ce52353619afa4a00eef78ee93ad68a320510c4aa3af9e515b9f6df
2019-11-08,449001,a59d369e33bcd347530dd1c0f24c67aa237063c8b0cbfcfa32281990d82cb2bf
2019-11-15,450380,18241fa4664b8dfc641ecb0e28e2d718ad5ce01953d4ba0cb2d5e4cd923bee79
2019-11-22,451952,a5f48a529ca628935d97a484cfd5482e83121a131520484fc0b94163c1c7f66f
2019-11-29,447096,6f4e9456df7865d7403f6b01731397ad4a303fff0da5d01de45784d983d246c8
2019-12-06,447918,01ea2f2b4ed9b2174be5e88783225dd1990f4c3ec4d63517fa072a9447871587
2019-12-13,446833,191cad964dd134f76051761e080abbd136be6a3a3eb368aa46ee88c34489e2ad
2019-12-20,441359,5692294a3e33527411c32695fb2170794a099c85a48d83aa37d65da16165fcc2
2019-12-27,429896,805348e0854d34808c074c0287beaa0d6b477151323a31973e028ba7667a470a
