period,base_rate_percent,source_record_sha256
2023-01,3.5,0f33cadfaed54017f898517eb1072bb5d860664712cd00d17edf03a41f3b3351
2023-02,3.5,27e0016433c190a157b60a8b17033715ff3c22b0dea2806f7cf5826cf7f5e1e0
2023-03,3.5,bc29e01037132ce6993d45b5f0434947802be3d6fe854337144155efe3f1f971
2023-04,3.5,b0c862b04cb063b4b274753dccbcc9f0cfd5f36342adacc5943605f21a77820e
2023-05,3.5,c8485828866c6131aabdb6cd7627e0cc0d658de11e316db6d47ec6d5c91cae6b
2023-06,3.5,2ca115cb0874a54039ac280552681892168f22739c2c0d2df05e162ab06f2985
2023-07,3.5,14f714449e76f1a545a372c6060b64ca09790c07defc48f8ce1abbcf95f78791
2023-08,3.5,f800e4332a88f7e6bad441cac81f8bd8c78c7480a8bc95bf84e466976cbf2efe
2023-09,3.5,f55279eb9391701c38baa1c8e9162761f5a6227bc92655fe60190a429277dfab
2023-10,3.5,32320c2d40628b2288f8a28c473065673533f3d0d2567379a751cbdc33725983
2023-11,3.5,b81c5b15100bbafa4fb2076e93c1a82269c3deb67546c8958809aa6ee62a0898
2023-12,3.5,52f29c318acb3e8e40185565d1c695d07804f023c43bc7bb16bb9294842dea38
