period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1979-01,68.3,available,,,false,4ab224cf60cf787efa226722dbf237b0facb6583f0988955488b0c1b2e5a083b
1979-02,69.1,available,,,false,289de089d8f1ef7c93ab82948eb82e1b1b6acac66a244cc157f1fc48b92f58a5
1979-03,69.8,available,,,false,18e043de73e2de7937b62937a7667f10df713d99a3e3b3f747952905ae8e70ab
1979-04,70.6,available,,,false,a37acca1d22dadf38a2509357f89c16c32a439db41e5d21b27fce02880e2017b
1979-05,71.5,available,,,false,c8571d058ed3a1c44e6a91ac24d7b53775a4df6867993c6c5afc3eff64ffc69d
1979-06,72.3,available,,,false,9f93d4550b79d19eea08a71e8ad3ac5772b6110d3feabcb48cb96d64198339c7
1979-07,73.1,available,,,false,dfa31a6c7b4050f412ac72c8ff80b558a7f8d65f16db4ed55a8bd2bbd07136d1
1979-08,73.8,available,,,false,859a4d68126893ef207c9f374fdbd2427c39dda072cf9aaea2f75f531ee886fd
1979-09,74.6,available,,,false,9898389af3f16c054d32d25020c4173f2568638463e51439e59c500a0ea8b393
1979-10,75.2,available,,,false,5b2a94f07fc7b921cb629a437009c809db6ca51a8cd72998a3911174afc0dec8
1979-11,75.9,available,,,false,7dc14e97ed65fb552b2d442017b39027d205eafebdbb8493fa07ee1f713befa6
1979-12,76.7,available,,,false,ddec92ccbdf8180a86d96b67ca0e5cd19a9d74245fca543254d9a96626f2791d
