period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1939-01,14.0,available,,,false,0ab741c4d8e9f0ba4111789808ddd0051f6d0e7ae135e59c4af013dd0c9909ff
1939-02,13.9,available,,,false,9a29bc2e49341ea810a5250b1305078c15e5212ba74b10d5f9023fecd1566af8
1939-03,13.9,available,,,false,28ceb69033fed71793a65b86f44c8d0130e13a04b3ed218ad525351acd22d440
1939-04,13.8,available,,,false,934411351c6dcdfa6e06a1c8f4b8427f13acc44356619381db0e66712a16c7e0
1939-05,13.8,available,,,false,1705f24ee1669e1479222abafb9b4e2c055a26228e4bccab9a049089207e3aa8
1939-06,13.8,available,,,false,995d3ce5a04e7ca9e25e98a2fe3610cd81da4de0b012a40054cb4e6d5f223f5c
1939-07,13.8,available,,,false,39376d3cbc29a44904def556fef492303a2695e3f75fba0cc87577b2ac42f787
1939-08,13.8,available,,,false,4d8bfb72de46ccba11d10324d316a3cfc9355d317b66f00f7229a89cc3bbc823
1939-09,14.1,available,,,false,f50c86a7b7cd0305c4374a958bba27e31b178f5ef3d6bf1b4f00f903975207f6
1939-10,14.0,available,,,false,f03d1356b1f3a9f7204e3cadf861db2bedd0ffd79a9638d6faad37bf3075f0b6
1939-11,14.0,available,,,false,a0211bdb0e66225b8c787139872d16cf3b97b0e3fb4d2d7a77d107bc6a73abd2
1939-12,14.0,available,,,false,f744b38386f595e6672d5a87d64d5cf14a2b5f9b44ada777f5583a098ec5a1d1
