period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1992-01,138.1,available,,,false,a1e5ddc2b43b624ec9ca1b4aa14c92a0973d8a6a99a9f9c8ef73d147c620f5d6
1992-02,138.6,available,,,false,d854663996950a6f07fb1bf50f0c99799e370d5a57d54bfe6ca25e8cf755c311
1992-03,139.3,available,,,false,4a51dac27d164330889d4082ccc390d2ec2336af102e058ef17380ee06c01da3
1992-04,139.5,available,,,false,b13a51c64576a71a92b27fac704c511875bb61917d0db256745c091c15fd7055
1992-05,139.7,available,,,false,2566483a41a72177898aac04264d70f467dac81d083149de0dca122e501db990
1992-06,140.2,available,,,false,a691250b900e85c1d4c01d83dbf9f5fa517122825708ec447fef41adf1cffc9f
1992-07,140.5,available,,,false,518af320033ba676fc081c9abc801fe18e0497e44ac43fe7171f3be7888f57c6
1992-08,140.9,available,,,false,8d20d98d870d223a78ab3d173f6989fc64e4623920d96cd39daabda2d8e0872d
1992-09,141.3,available,,,false,c48d4dcc1c3a65ac33e885de0b996de00660a23215d697d9755fbdfe65162473
1992-10,141.8,available,,,false,bb75c886828cab5f6d1cb949c4bb6dd5c57937322ccad5c0e3e83988ad389f58
1992-11,142.0,available,,,false,7169ea490218fe5781307a9bdf496e4b24b31c2b948f7aae0864403decee05b0
1992-12,141.9,available,,,false,84bfa86829ede15970ea81c4262e32adb00deaf354cb34dadc7827ae86c3a316
