period,debt_held_by_public,intragovernmental_holdings,total_public_debt_outstanding,source_line_number,source_record_sha256
1997-01-02,null,null,5317016511039.02,1,c6b16ad77c3e28fd81861b73a4ea500adda1579aa9386a37ab4a92c394161c68
1997-01-03,null,null,5305656663283.67,1,1540ba7770fc0a62b95a74afddf1499161eba22d8261756e3f9d884c1ffc67dc
1997-01-06,null,null,5307443211337.42,1,2fb05b79e3eef8ab7e8c620b5960d8acb2f76593f3a9f6aee8b52baae2df42f9
1997-01-07,null,null,5312781237956.91,1,82edac501c9c0424eb62aa11d823a3ee046d96de25503cc5810c2e3789e7f637
1997-01-08,null,null,5310974649830.60,1,95828c453cc2bd040c147ee27c9379dd66dbade3fb76c9d24a2d60b87067c977
1997-01-09,null,null,5306328995520.25,1,9afedbd720ae7f0c2c22bad01522a2b27efc1b05adfeb7d071bb78103bbfdc5b
1997-01-10,null,null,5307096854854.56,1,3bee089fb32a2e9f124745adee8010ac00392be4dc3c43efdaf956c9f146825f
1997-01-13,null,null,5309003643473.08,1,c3d87d405709feef4b4d11d0cd024233bf565dc106a5b267f49b7d72df277479
1997-01-14,null,null,5311783470166.25,1,8361d62f7c18d746dd111447baacb52876012ec5b6c7f6cad988e56357ba8e95
1997-01-15,null,null,5309179279776.19,1,6fbb9278584d7b76f6b9fc65544651387130d93233f45541395fd222f6b7c3cb
1997-01-16,null,null,5310005630866.75,1,484164ea8d8795a09af7dab117f526c6a607d90a56b09899469c9ee4081bb2ba
1997-01-17,null,null,5309774506681.99,1,d8a6f66796a0ec1c4606dd0c0e121f0f9934dbe418ba6d33542fe448030b649f
1997-01-21,null,null,5310267076516.85,1,dfc0f479d748cd7f39f9f61f7a9df97f8ba3d26512ba1035d84bdef71f89264e
1997-01-22,null,null,5313093823498.70,1,e85edea9250ba03dbcb9c84138b4bf17ea6d08d57156c6919ea1a0c862e42bf0
1997-01-23,null,null,5311509682915.63,1,d973a8bc9c252ee1fd2f766d8aa3b71b4576acd6229ccb4ca2109d1f11042443
1997-01-24,null,null,5312168647843.99,1,705f94abfdb247a898b4a1595c35efb61ec8c001a85a43f8de3b76265ffea372
1997-01-27,null,null,5312990372147.05,1,eff9c314eb4bc6d9ec80ecbbc2aaaccba43ea45eb33fca7ad0dffef70414abfc
1997-01-28,null,null,5317192254267.62,1,45fc372b957303d80f3a0b5bb7b59413c747b13b8ab3e257e32dbd82152d8f03
1997-01-29,null,null,5319575822990.65,1,2152687f642250e329a61e0efc5c3d8e54208e5b3ead8a814a8e094a2fd48dee
1997-01-30,null,null,5315795971480.01,1,605fffc2e47fb1cb642d496d01b0bf6fc6b509b02dad14467626d35be0bbd197
1997-02-03,null,null,5297382328731.42,1,678938ef29c307ce81c80274c7114f23d3597a330a510901229902cc2a672ad1
1997-02-04,null,null,5300797430319.62,1,eca62905c103823bfa0b34521f8d94a952ccf2e7f219c0da61e3f624dda39c01
1997-02-05,null,null,5302957481388.92,1,119b995b77b5a52e2a3c9341249a29e79b2d44b555372aebbe11f84f29dfdc6b
1997-02-06,null,null,5307083787977.17,1,7051a925b86e025305d14bb30746332965178ae122057c6289a6e45aa6b59572
1997-02-07,null,null,5301813739040.73,1,4a9e0f3bedfb0be96a7a9631dc2b2dd8795387a6fb8079934cd6e9b89bf1022f
1997-02-10,null,null,5302292166231.47,1,a243de9113def0c313fdf296d464623ff26258bd486875f755bef4564d810de1
1997-02-11,null,null,5305463575595.03,1,c57414a3366409bbb31e33ee7efecf1910ee0b9398cd482614bdd01d0c36b85a
1997-02-12,null,null,5308979863712.08,1,5dc4998fb2c2f22c9c03d9eca338368d0d57a098644d8bfa8f3f07048ce28ef9
1997-02-13,null,null,5309673894362.24,1,67d039bf75093c777851748b6e4917fe3a22a99cb552eb3722966f508deeda10
1997-02-14,null,null,5310232511891.60,1,b6e66a9af65fd847fd4944bf52b567d5adcef2e83b09771820ccf9969f73b4d1
1997-02-18,null,null,5336179923740.34,1,0c6af0157511a4d02a4e094343b873c4bd693bee5844934dc564c7c7b06a73ad
1997-02-19,null,null,5339667533437.48,1,64ee656a01f5db96b974fcea67444d4fdf0dab32e3c795a9ce37a214e5054875
1997-02-20,null,null,5340687036267.98,1,8dba7b9f4d8547f7c2c3fc9873996ab6c7d2070ca014ca48d8380774f1360e78
1997-02-21,null,null,5340480961413.88,1,1c57fc27dc552fc1b880202b6a1222377f4239e91004cb65768650afa180c207
1997-02-24,null,null,5340989383890.18,1,fba1cfa631bf1c58c3a02bd6c6bc2497e17979eafa0c04ca09bc891661bae2ae
1997-02-25,null,null,5342929738924.06,1,8939a929e06a7f9c82075948b7597c3aaccafb3b025afb8bf6c92280091fc54b
1997-02-26,null,null,5345590198251.20,1,d29e6602287d1f2dacb20b42c4ee81d2eaa10e3f74b06c3704f4ede8dc7104fd
1997-02-27,null,null,5349402692025.14,1,c92bf22e8482a56658f3467d93b44fa2e72b8ed0ca32cbe0e227d7f20bf2291c
1997-02-28,null,null,5349937360942.68,1,17bec06210401bfb1b39d009ffd9ac60d8cf77742efeb13352121d80857be938
1997-03-03,null,null,5358956534107.64,1,47bc612b8b932d5666b799ef736a6f79509499fc7d0358f1b2dd6dc2b1ef4904
1997-03-04,null,null,5363582891993.50,1,561590fb85df53c444c0805b83e4a0c3986a4744c3d7ef6d60ba0f9b7ca22439
1997-03-05,null,null,5359515287678.12,1,d1752380550534bf15539d67def255150cb2b90bda98185461fcbc8fafbd040c
1997-03-06,null,null,5358686165458.54,1,0372a0b1d8406db9ca2c93bb2400efd5539d10adda2885712280261717c1ee37
1997-03-07,null,null,5353405261722.26,1,353942b361224eb62ac0fb3e2de2c4171c6e7181f4ff1fd9c96ac221fa837ba0
1997-03-10,null,null,5354330021048.50,1,cb2fc074dd03d1440d6a9428ee026d314f4b3a92a358f408e3236224f796cf1c
1997-03-11,null,null,5357359481153.10,1,fc8ac1152d2d98a6fe4c639683ee75070a9f9621c11207c91c4f40b3efea886d
1997-03-12,null,null,5361482510992.32,1,b99ec961c4b2f93c7daca326c1d4ce76e14acc3b61249b0fc360de163c3d6a4f
1997-03-13,null,null,5362035571060.06,1,f68b8c9e396ef77d6e933b7b3d099e22539fd3dc5f6257664812b6ba0283500c
1997-03-14,null,null,5362748754102.53,1,833f2a2a50983b51149f1c30e09500dae6c15f5970d352e74a8649144cb77742
1997-03-17,null,null,5363306532631.89,1,6ceda82d9130239362ef652e131d31c39605a96b8d3533efc0d6adea76164536
1997-03-18,null,null,5367674335377.56,1,07c12193c959964604e6f3ff13484ce00affe75325e859a5bdac3b2219bd4d6c
1997-03-19,null,null,5369097231511.65,1,219bbf9ae28caab6b42a5c5679fb878bed73b39171b2f5799b841931040f6c11
1997-03-20,null,null,5369249768972.02,1,21f4d2179ecc6425a2bddd2327103da7543d802497df5ae023d2d5799fda68b6
1997-03-21,null,null,5369740959146.19,1,0f148280799abc85bdf993b0a17ef758e77b326dce5f741f6114dd40f2fa936a
1997-03-24,null,null,5370448951500.60,1,069ca5734b07bd70ab54f9485b5f05347142881bd17bcace87cf4f05f73513c8
1997-03-25,null,null,5374777220348.60,1,d429fb814815e333c5250f299827b2f8818d2572be0aab040de7159e03416506
1997-03-26,null,null,5377852456403.37,1,052f293357a0688d7f1c6560b3ed09bb98d7c6581ba5b00d8bdaf589ec867c5e
1997-03-27,null,null,5378489443890.30,1,b3f5d407f8c36c5083b101542e5489d659279093198a09eec11e24a33b637174
1997-03-28,null,null,5377245182258.46,1,d9cfc54ca560790132e89d47a7bcf9a05f3ab34753527a5d66b25b713d79a6ad
1997-03-31,null,null,5380889857391.59,1,02f583cdfde7686b2996bccf973ccdff17f97ed63703ded610ec2cafde30cca7
1997-04-01,null,null,5375122375222.69,1,4a9a968850df7053b28659d91118b71cc25eb685318991bff1905dd755fcc278
1997-04-02,null,null,5376710487393.11,1,147acf20ee285fd5c28642a77cd6531e2e2503dc41ea972fcecd32edca9d9fd7
1997-04-03,null,null,5385463327534.04,1,b8fc2dc185dc00d7d54117f95152ec20f5fbb7f1e1e330f9a485a03fa2c05071
1997-04-04,null,null,5384750396046.34,1,1d0617e3775d82c0926b082a19c8db0bf5a307d1e4e1db3e40100283e5a74129
1997-04-07,null,null,5385190477418.92,1,a8ad2d0113ea41093c472417fa00d0fca5ab71c79403429b771c023da5aa052a
1997-04-08,null,null,5384125088631.94,1,bf509742f8dc96921debea1fa63ee2128fe2bf3ea58ef2e6da661d590daf161d
1997-04-09,null,null,5380948025320.90,1,a0fbc1ad8de44e92b01bb4ba4d5cc29ad98612beabe80b37159b0aa2b9c693be
1997-04-10,null,null,5379884266589.44,1,a037fe6daab5a5259b503c2a4fc1127771655ba85385314d07bea7379be2df8e
