period,stock_thousand_barrels,source_record_sha256
2002-01-04,294406,dc0cd2cfc1cff5c15a10d447550e10480162f4322e7eeb764bc7c23cd734cafb
2002-01-11,295434,4a231ac7bfd13287fc8f3bc11158339d316bb2b6961622da9d914d71a1b05b23
2002-01-18,298183,0f0b4b78a94fb07f74ad524bf9237d0f50c4becf6c8391c704fcbc33cae840c1
2002-01-25,300289,342509ab0913ba7578f8c46522d48bac026f583b26a5053e1a982ecf3480b379
2002-02-01,302497,9e92a5a058d629e72c1cb67717f673555c0615a6099ba032fddf79ce9c305f27
2002-02-08,304998,627ac7a6d8d2313c4621161c15cb069ea8651ef2600029d33cb647d9d515e42e
2002-02-15,301890,61518b74436c63c1cb9564331375f2a9119939d79c7be6276f927f56c8b85b87
2002-02-22,299422,9c261db00f9e5db334549dbacf153d8b76eedc292576b2f3ef1bb51cbb9c4a53
2002-03-01,303756,5c420b989e3c0d29cf4e373dafc1868cd4e09d311aa2ed7a80dd9e3c0dcbb2f9
2002-03-08,304089,2f7e1a2fd6b3dd8fde7b0cbe5a052ff6e07deace55f3475c9fc1d725b094495c
2002-03-15,306697,a1b7878bf65795138f80809196e7a8b27a108d3b60a2849b87d91679bd719823
2002-03-22,302253,89e4b74e458c8fbf02057f04e0450a2290fcabecce9c7bbb84dd55b36de2a030
2002-03-29,308278,b6096cc64d5d4b24e9c6122cb610380228083c7be50e3dcaf17c6a703d6e0bd7
2002-04-05,308541,fe5eabe082c8e4756f5f88b123847b56f977ffc07addbc3925133ffe3d132afb
2002-04-12,302876,6fc3d70c82815902ab2b3cd7b31609994ded3da143c8633e3b6608d3dc7982fc
2002-04-19,304462,f67ce6e9237b07749724a6b2e6171180f3fafbcd0b5b1376588b43fb8824da70
2002-04-26,309034,53943c5560d96114bb5518cea901a3de1969612cb2876d6b3a02f557058f1e04
2002-05-03,303358,9e538312457619bb04e2fa7d08f893edf3a309f09d0d595f5c58b400a4baad38
2002-05-10,299171,631f4258f9a070a93dee352ae1fd73e90e38c2cb01dc9cdf35b1fb4178413ffb
2002-05-17,303801,7b7c66ae2630315b49ac0c19b5b5f6c92f1a1e2976fd3cd907fb953e9fbde498
2002-05-24,302265,252d31b85851f1789d5fa3c2a47cb2cec55107764ace682784a5092a8480136e
2002-05-31,308297,4148d4e66a3ab8ac91c4e4427edbdc65d14f2cec9c88177f9b0628df27469c9e
2002-06-07,307115,ec7a5705124745e99cbb1eb7fd4dc56d4e6f83a5883d5e8a986e4bf5f3542a98
2002-06-14,306632,e098a710adc1fbe2ae3f78372b346188ee625764e98cf6a06f4da9fee3f30c11
2002-06-21,303193,55fe0d5c63a057da22f855ae9179d15036f32ac896e150ef461eccf477dad8df
2002-06-28,304766,1fc706af4bad3ab29e2448e0a96afbf859cf838eaf8e82d5bcd9c538475f6ae4
2002-07-05,300361,0acb9ccd4f845e47f50e1e60f4690e5ebfe0bcd9a92d4c9f6461bef9bb7d65d9
2002-07-12,298381,f94f790dbd5e71de0cc990532bded691346caf28cd4f2b6c2c171507f4ca3e5c
2002-07-19,294699,205af732866a778ace5cd98c75c317a9605997a02d9cef6e2e1c2b4f675fcdd0
2002-07-26,292722,bad6c61d99a054dc1680af8c8609b62f64d148f569ff3eb53b48417ee5831b36
2002-08-02,290642,2ad60af61856d802679787a21710cc9e81c0cab5ae8326ab615b6d1cd4df1c4e
2002-08-09,283437,5dc903a51e50d380498d45885147ca3b4f218852c09ba6b01e4db8c5d0d4dd75
2002-08-16,286290,16a602730c6b6af25595284f01e469f8721104a48adc5031ed80321cb2f518f3
2002-08-23,286554,246cf5d963f6bae328991c50e2cfc08410d7fabfc2795517d2f3b2bc14a57b66
2002-08-30,281926,63d8475466c30791540f55ad600d85ff42fe8ffa449812b3db71cb5e9a7c3ae7
2002-09-06,276874,0714ddf3f0f4f372a356769d47b1a3e227f2435be12b5c4a6c2b20af68ab12cd
2002-09-13,271470,29342c304681e4301e5d458c57e8df9bf4fd137befa870519173bf9cd778f942
2002-09-20,268878,77d56696b01d80e676bf834342076c78140b9db2b346ffc51b57ad63010300e9
2002-09-27,258896,c26cfdb09b107f676d78a568c1dc7c20949aac1237ac9a030775fa02078766a3
2002-10-04,254248,132d1621f5316399c824198404d3078ac01a63ff4cd46256b45a2871b2ebd16f
2002-10-11,263223,cc672a97ab60558218ad05d528c0ebd6c1d7dd16361f4aa73a98046879a86520
2002-10-18,270000,43349eb09a2774800cc040f6969b24cc20b5a92748974a973a0c226134a4e453
2002-10-25,270914,b20ce7ad70347dae5e39f7f2a2fa4c5439211faf47be5970c4b58ef59fd13294
2002-11-01,274396,a1b7550180e5acd92a6adf91d23cf77e14e308ef34827e9fdd27fa6d988d6c46
2002-11-08,267506,0e184c392e801e83c6eb108de515c6ece4612ea33be491aeb46655b6ad4fd7ed
2002-11-15,271961,0841aa07ee8c9826cbc9e3b2813e0b2d5f3cf2c35b9b8538f6cdf87a2b07f60d
2002-11-22,268062,9223b9f1b3bdb4ab2a056605f9f44f2b8389a423b0c2775d6ba97b5d1254a0a2
2002-11-29,271138,11bfa13c5f436205a8aa6b37704e8367b87e12ab4f193ad8d43d295b19a9b4e6
2002-12-06,272561,6c3e1e6595dc72d8a1380b478659060f71cef895b730e2590698b455c24a5ad4
2002-12-13,270500,cb9d5e17252ba7d68c88983d7cc9ce7658071ce46dcbfaa1f5c785ea5a50ddbf
2002-12-20,271215,6930e1d9464f1ea33871c14829c0c64aba4e8e95561fe412440bb42c94c4359d
2002-12-27,262089,f64636a073e97a9d29d2dc70d7f35053394c56e84486620d4f9a61ceb8d6e4b5
