period,base_rate_percent,source_record_sha256
2019-01,1.75,83ff249ed6b8cd9d1a8acd271c7ee25b1fdb2b29d124aaf0e7b6572c258757f7
2019-02,1.75,65f12af0ba307d7549a76a490f7f81868e354e4f8255361588bdc1f86b0a73f5
2019-03,1.75,9af27a22014fc3e84f14e3e560ddc5dd58502b8e65d143d4557accdd6a542275
2019-04,1.75,1bcee16b0405aa9831bcda608aa29e6c659ce7561df11a43ee7186a7783db3b5
2019-05,1.75,3699e8995a73389410ba73d709a64fa8a942f25a14c25ca371dbab4f74d29a43
2019-06,1.75,a56f767cc62ce9896e2980dc9d7be26e0ba5bde3d1c5102955bc85cd31ef89cc
2019-07,1.5,b1cba5797a944865957f1059f80db47abc9dbba0e9ce41112bb45b5a5e543d81
2019-08,1.5,1f474f5b20b77d2485c7a5dc471bcffe86417261b3280917dc0d02d13f57b912
2019-09,1.5,0c3c844472ddb92c2f9432ce8ccbd06b8488b1fa1c2e2c5094f9d100a663477e
2019-10,1.25,348b62684f24c255b469993deb60f44cf58236abf76b6b77858f58efe813b201
2019-11,1.25,7197e57c2c12593b036cdcb95f6356dff4512fccc82d440aa271271e6a8c6123
2019-12,1.25,61b2eda793a68d020f745467e8c65cc5bf60cf2cccbfb3f68f5482e5110e2ad7
