period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1919-01,16.5,available,,,false,f7d0e74fb9a2c63cc847d64816c1b18311f32a8f697d9f621d964c051db68d2f
1919-02,16.2,available,,,false,da921a7f15b0b83fcc894b8bccb02bfa9a92b2f81f5889f6c2993a782aca5def
1919-03,16.4,available,,,false,7965da9f05b7d490cd22a1a45749e8e86b54edcd1bce0f50cbcc38f180d85464
1919-04,16.7,available,,,false,c5ac482b4c181fee5f4490fa83cdeafe6409e7f9f70418f4d21923da91e7b295
1919-05,16.9,available,,,false,2b2a09ded32a5264e166f1e18501ce92a36162a923a36f2185383743319c4494
1919-06,16.9,available,,,false,e3be54dfe5ed3f0e8b8fa5e709a28dd9303a8c8b7d565398774535184e3b73c8
1919-07,17.4,available,,,false,16650debeefea7ea38a2ad6cd17f58323c2fd3aa37cee8d3fb37415f9475e3b2
1919-08,17.7,available,,,false,c47d2800fdfe2cdb6bb99e24b830a9732754a9b6fd8cb90269072dd517b37173
1919-09,17.8,available,,,false,6f36028e25fb43b71004d3bbeca4ed6cbafd2b2438240f1ecfa541b6935675e0
1919-10,18.1,available,,,false,81591a8922b1cf82f580b9a5479cc101e437d2c0041320b628c308bbe1af2860
1919-11,18.5,available,,,false,f74921a611014573bf0a0906c3a573df8c1a410f94863d67d3773c2d81182f70
1919-12,18.9,available,,,false,f770c18e090dc5282c0134126bd51771f89a26aa5c8e2785ef63a18f58e372c9
