period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1935-01,13.6,available,,,false,e7ace7a6cccef327256feeb62d1c245353842d80a7dab656aceaa14d57ae04bc
1935-02,13.7,available,,,false,959d5ec3f8168a772aa85b4c424b50d0b2afd9c1c03e462b2a918388bca78600
1935-03,13.7,available,,,false,3f4f87a99e63b193d14d0285927f0791abad69053a1ebda26593d8afdabd29a1
1935-04,13.8,available,,,false,93c64ac04aee20d873a37e92e63febb4460824899edd8ba730bb620049f3c36c
1935-05,13.8,available,,,false,d0cd51be05b1aa8f7a3db57a2e87f2af0e81e7d9f666491c396af3e06a1f08e2
1935-06,13.7,available,,,false,eca16c54d12947d7a15b08bf207569f9b537bb2139719228e114cd6a0947eac5
1935-07,13.7,available,,,false,a3f882b0d3dd130efb877ca1f624919ba69daae7a3a3f53a834f481e1221bf23
1935-08,13.7,available,,,false,df5be426019355f6ccd56dee608f9929827e7944b17eab7c2872ab7775c4754e
1935-09,13.7,available,,,false,512cb27f1539ec741b2418727f2f199d7583f710c076a0ac6b1da9d476a1eecf
1935-10,13.7,available,,,false,c281ffa527c2ef037177947eb5552d55ab958aea7756b01bf18ce30acd645b0f
1935-11,13.8,available,,,false,0f2448674dbbc84542d046abae327f7c873c19fd31469ef8fa619485d250d7bd
1935-12,13.8,available,,,false,ce09b4d55a369eb84287eeda2db211b8ea944614b219100ba3b657e97beffa76
