period,stock_thousand_barrels,source_record_sha256
2001-01-05,272072,2f18695118a849bc86b38bc28555582df4fc660177915072f9d4d625b5755145
2001-01-12,271062,56a418d73b04293358559c0e9ed1475359eb398a62a5abc8625d901cbebba457
2001-01-19,269952,a9f55598ebc9c75a8da47f673eb09f77cb4b02ae7f1895b7e2d65f40cd1579ae
2001-01-26,266382,ca8abbbd5196391f3fc3e3fa94a492856ff360908a9a5909f6ad439a495bdd9a
2001-02-02,269298,5357723a01311173772f236a82ee903d216d8b950a1b0118b2b50db614178bd0
2001-02-09,272662,463d8401b25c259547f1290ddb26f0abf79a63fc2147c149a3dd0f81d23fa883
2001-02-16,260782,2027ef05d397d07451fd69be372c18b0a341d8cfb20c114229c30df09f3f011e
2001-02-23,263661,d53e7e0a2659f39b9120003699eeab32307dc60cf8c618615f7946f2a89ad553
2001-03-02,260949,6693682bb2fb6e85d6e9f82a51a41e3cf722bcaeae1cf3be675a35c860aeda9e
2001-03-09,268920,6f90fe0136267da5a405eeb96f6da4249921d5e1a61289e9e597a84b842d3ae3
2001-03-16,273922,67952f60014b8edda70fa8a21e39843d44942ef6e19c92bed08b8c33f8397bd5
2001-03-23,285110,e57da6a51b129a50ee6cc5e2382e1bae85a83769c127233e8f526cfc69c6010b
2001-03-30,286795,1db1847997314954cb2cb173d95fc7f312199e4aca5171f7841d4a90ab174fcc
2001-04-06,290606,be768875c3af75a782900ab3263624fa79a3cccfaa0eced3552d56c92477f763
2001-04-13,296817,9866564afe9f31617b64bb8b72464741d222c9df27e4a52485bfc5902187d77f
2001-04-20,295392,c397a78657a5626c8184984bfe26c5d0e37510a92fc6443ecb74e82cf2f0e613
2001-04-27,301717,76781207dff4bae3e370ccb020744f3f0ce8d43843571084b90cbd7a7a7c55f1
2001-05-04,302335,65c7e3b308d1d0ecba51ac3a9a9e9dfa7aa43402058179c5cd8286da18082ef4
2001-05-11,304811,b01af76ff660584b1b90f319ddf31c579d98078a51e0e62b1a943455a963e630
2001-05-18,308153,880e2a91cb666f5cbd990af3d614ff0aab56bb1a04e8605de52e3b310f245ccc
2001-05-25,306411,da702d6a8bae708183fcae1a193167b4702170bae99c022706aa84d429342848
2001-06-01,307913,13c38daba06fa5f8577a1bccc09c6df2c4b233e396e87a5f9296731aa9cdaade
2001-06-08,299709,12990618ee246d08ca5240531084add66d6e9bc60b73f83e4a70d5af0fb9f399
2001-06-15,298981,ae9e0c3c8952b33cc129fd886a6b12ed0132cad85ea7fba91e06f32339c16507
2001-06-22,298973,7af11ed7972fbfef73e0a85264a496a0715130651ddd6dcefd05c93544b75045
2001-06-29,294220,01d0ecbc3ec54d3f28bf9c7c80144c34d63072093e609b6cecbd4e123eebda0d
2001-07-06,291112,5ccb2a443eeb3e136bea745e841b979243b5ae911ea6ea77a9b1421806d780e3
2001-07-13,298133,f4cfe38bb5fd0cb483e79ac1ecaa7324f1c28fc794742c25e4234b3ed8c80536
2001-07-20,299513,a61981cc5f3f72036501b837be14a15368d28141d9cb03e8477bf6989a030b08
2001-07-27,298463,e043ae9d06c943430746fda1a2e4259f268b7b50b7db7abdc8f77d5c1bf07aa0
2001-08-03,291804,afea57f4834cc32ae1c565acabbd624a65083f3836c7700b5641cd38c1d04b29
2001-08-10,288954,b70365d66b1558ead3ff522e848244e2ac710afee4afc1f8a827543ea7d4efe8
2001-08-17,284951,161cb7830d8ffa101fdeb4b4d21b8cad316a2c0d14446872b6e4f67f79c1a14c
2001-08-24,287648,97f706e2ad91d7e7ddac76d6bb12b1adb85fd0f2ce58ad3011dfaf2ad3717e1c
2001-08-31,285694,feb55c429f0cd16c6be8acb72ade5fc3cb412634e2fbfd2086bb25fc614a7840
2001-09-07,286655,0e4c3a99f3da6a4aca50a24adf9cb821d4c59cb80ad9b5273a846a078b2ff7ab
2001-09-14,286029,a6d31c9d6a1b6968c70a4b5910c467dd086ff76c551789ece556668b3a8788c8
2001-09-21,289215,9edc843b8c5f5735ee520ee18db523e96c7dbe375931d611c2a6b1f6c373bc29
2001-09-28,290827,2daf543805c32c78b8abaa6d4efc91f65bd61a6a23dddd909f8add3f0b9ab708
2001-10-05,290699,5f784dae45de7a28eff57a964ff564f9f2987d436141fedd53bcc7949af59b63
2001-10-12,286259,d49739c620844302f4fff31cf3e5fc7214e379f80a795e7ca895235848d42368
2001-10-19,289082,01fd28bf55d8e087dc733c38270eb04422115cb0b21282a9005dbfd37e50339b
2001-10-26,291538,3ec2a135f86964ac9b4a0b0f4a942415617fa9bbbddd9d8a560b67603fe57465
2001-11-02,295552,60e447af8b106909a468ccdf18a5df41a0918ea2ef015ce4bbb77aff73f1e3d1
2001-11-09,295285,7c5f2fddec27c795b38e599bc0cb1a904ce023affe7320dedb1fe3f2ef0b827a
2001-11-16,294065,e963bdc79c4f7ad5d9aefc755689025d04441002a19c7b08d638370861b4aafb
2001-11-23,290885,2a130d03a5ce4bc689dbb329c33454b4ba625eafe1aad2b4eedd6376eb8a9674
2001-11-30,295140,02c8688ccc18970a403fa7024a4eba31e1d06db9ca584fbf52f1166af1a1c43b
2001-12-07,292803,659d1167c0b3f977f409de6533b2a836f4846aada5898504d04f9661f90ca9a5
2001-12-14,293164,fdc2924bd4cef3682fcaef3fbaedd51cf8581334ee1bda9fdc38722c7d5c933d
2001-12-21,295777,25d78161256c647e21058784d4cb648554ed30cdc589697868921dde868d104d
2001-12-28,293607,00562878ea433e7d6f79dbdc59b8b51878064783bd3b1b9d25b55e47fcfae3bd
