period,ref_area,cli_index,obs_status,source_record_sha256
2011-01,A5M,101.218,A,8f7a47788806e797753f804f9ebc3d8cf6f2b38aed6150f732a15e686311e8c5
2011-01,AUS,100.7053,A,882d10b158f6b54a3799fc5f4f6c01b0f111fab0d16bbe305bc35465a355287b
2011-01,BRA,101.756,A,5d0c5199e7282a8d93571a05e62c555e430cfd25864b24a6785c2d6e9350bdf3
2011-01,CAN,101.3117,A,481aa0fbf6270dba430fd19c469c7d1c99a6741189a324ae61cd0604ced7d17a
2011-01,CHN,100.9839,A,0001f55eb6e1e51ed75643cf9c8c5d44523f39e6b96582ac9443f9d2158a68b5
2011-01,DEU,102.775,A,c351ffa69d4be1cf3a2e1db4348eb3dec55468e22ed2e516ad45193d5da8ba90
2011-01,ESP,100.005,A,4fc7a9d41c51c086bbaf71639f526afbff5ac0828f7db77476e72023f836fb0c
2011-01,FRA,102.0237,A,e0401fc2cf7c0ca84af17d5f7489ca1faaf395b2d74b53a0eacc3ba0071b7e70
2011-01,G20,101.1833,A,9e2eca2dd0a1df4b83a19ae0e145fb06f04f6124330762f6ea19427dcc0a5815
2011-01,G4E,102.0841,A,86dc2114f7c41b901f210b254b289e22232c91a2f9309b47fba87dd717964aef
2011-01,G7,100.8568,A,ad29e9ecfe291584eb969dfd13ff992604f478a47512608b38ea012fc38c8179
2011-01,GBR,100.7798,A,7ee254b82207346213802882b0242b2f3560bfe45c9e74a99583836b01c6e1fd
2011-01,IDN,100.7266,A,8c60bbfbf59116865dd10fe75fbf2f479a04ecf459c945eaa8a193a62e98e248
2011-01,IND,103.233,A,c4745037a725a92d1778f1185f093d523e59a5e7b803164f201b89323627e97c
2011-01,ITA,102.4822,A,b00c90f305e141cf00d1974dfe45a16f5bbcb5ddd05114ce1c581ff82e6bbd7a
2011-01,JPN,100.0005,A,c7444130cc2f8e798f0ad4e6e37dae5c158e00e7e9a557e7dfe4d5a5e4271761
2011-01,KOR,100.7551,A,804735e6c0a4208e6934c6fbd92ad1e94b2d4e52f1ddb77c8ea2eab5e5fd5036
2011-01,MEX,101.6497,A,380c70043e13dbeca995506337eac6c47ff029b7d830b88d712e2d90106c9566
2011-01,NAFTA,100.4912,A,6f300abec123c0067f3290a7ea995c0e04a6c51da368d662ff6ffa470982577b
2011-01,TUR,102.2172,A,5c244e9784ac4ffd4c7074f6425fd8ebaf7c5cf69ab57e06ab875f983f7ef29f
2011-01,USA,100.2671,A,cdb60f93bafaab2fea595a5a89e057f7b6a9c882d896b12e232124dbdb66465c
2011-01,ZAF,100.3479,A,b3165924386b9773810a57b43a719a203eaaa9d21df383cac23960aa27a0c497
2011-02,A5M,101.2443,A,5e3f1ab5b601536c4a5f0828acdbd62a968eaad26d8be33280508353192d09a8
2011-02,AUS,100.5533,A,4e36ea584420d238b633af2c0c1a47346d968d9195cd7935d2c3fa7a8f7b2db2
2011-02,BRA,101.7268,A,8b2912487419bfc0e9d8c74fe5a47a6845c1ecb84955c644244b2e3b47c98809
2011-02,CAN,101.2677,A,4d6dfd2ecf52a186424eec329b69882f4bbb1008c95a147c4ed6f4965ea7cd74
2011-02,CHN,101.1277,A,0721f508a816be0ed08356a08dabac1c9a663ea6d14ae1cb143eaa31d165be52
2011-02,DEU,102.7051,A,482e774741da24ca19f76214cb1a08dc123a842b68f5710f4af511374c816868
2011-02,ESP,99.93501,A,2c83d5eab12f602507109c369f749b7a77540dc64de597c05b7eacde522d9ee1
2011-02,FRA,102.1074,A,705caf2c5376e6f5b89724f403e35c9bcfa8d9a235748d2a2b1bb6e48135cd61
2011-02,G20,101.2116,A,41af7e5605606c170376bb6a2f7762faef6d6da79ba4d5a22c256861dd8639fc
2011-02,G4E,102.08,A,cb62b7b94e85e832d3729b8e90406c830c4cf8bb60c08015807b63a6666f48cc
2011-02,G7,100.9007,A,400ea5e61d360e1a54187f8e09a6564e8478486ecdb3e28963f91c818a3862d7
2011-02,GBR,100.7361,A,936b731094e9de3e3b058fe5c75478720ffae4c9782377a3f97bbfd618bd34e8
2011-02,IDN,100.7272,A,066b72ec4ef5a54c54f17ed92d485f1a6252c06c57610de408b615ff577e6e52
2011-02,IND,103.014,A,bca98710c1d4f275b8271344423ff3488c0130b8f38547cba309007402e9243f
2011-02,ITA,102.5221,A,e94e6d345033d9e4f9861df0aab30dc1e1564b939fa12afa0fc35b2b828883c0
2011-02,JPN,100.0037,A,08c2ab00829c3b3c9e650b2fc0394282091c279ac26e4c1d73109be5ecbedb36
2011-02,KOR,100.7483,A,d765d21e04fb439c42755dbfe5c3e02640172dce9edba642f995e30aefd4cf66
2011-02,MEX,101.7033,A,5324bcc7c405f7be013efd51a90e0adc34e502a52a7215bd36c795c3c998f8c5
2011-02,NAFTA,100.5721,A,42e762d13ec18d9d8637c41609a46e35718261fbc95dd33e9ef4bbb198230e9d
2011-02,TUR,102.0248,A,168eccdfeec2e75454c72da2d6657ff36ff4188bc967dab6c92c7910e0da428d
2011-02,USA,100.3625,A,cfeb52c16df4053a71aeda909cd777ad8759b0e5358e26f13c4b82464cf5536a
2011-02,ZAF,100.3962,A,a338b74a03125aaa56fdb87dc3d9c5816d3591531cb61328ae19930543f1a840
2011-03,A5M,101.2356,A,eb582950270b78b0485c3e3b32bdfbf1874c2723117b61cb51efe4d0cc66cd17
2011-03,AUS,100.3576,A,1e4f0f331fb5d150928e34063605701e323686754c345484c93e31bfd3747e13
2011-03,BRA,101.644,A,a7af27e46175b29281d7dee6a720c21848f2986d0790dc859e706e4c242dc8ff
2011-03,CAN,101.1133,A,8912db18841f4ed983a2462992b645eacd8fa4a60a49d36db250098570c70e17
2011-03,CHN,101.2326,A,4da9f1a120e25760ff4b7a5d9232d0414e428c7c91b919e932ad8b907ea185bd
2011-03,DEU,102.5528,A,28218bcabb7c79013fe8b03ea4c589de57e790b4920387e70acb79daf29b656f
