period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1983-01,97.8,available,,,false,6c5df09661dfadac1391977954ab6a4f508cd541def6dd45120bb541c4d72a85
1983-02,97.9,available,,,false,9bb9761d239fc7bd8fc0aee4b1c8f731ed6f4ca263b56e9b7d5ac065d11a4b19
1983-03,97.9,available,,,false,147f486c0787498d1a5cfb240f06ca3518f022994b2276820906aa445298ad67
1983-04,98.6,available,,,false,945ae8d6ea718005dffbc14f480eee02404570a5fd479900defac73cbaeee602
1983-05,99.2,available,,,false,a80d9d32e60f1f05b21c41f04d62a3ebc4feea6280dbd04e6f7d273fbbb64c09
1983-06,99.5,available,,,false,5e5f765d7c1a8bb4c2169a71a2c4b226f34a77c63e44e313a5fc8dc7fc32f559
1983-07,99.9,available,,,false,8a611d1bce0ac5ea96d90487c51e13d4e835d2a940129076204cbb8b00d619d5
1983-08,100.2,available,,,false,e1eac9b85f8f298b3e5e59aeb50bcc337c063e6fed8d2824c8784beccb851fab
1983-09,100.7,available,,,false,bfb85e9ac2d91d7075a5e18203f520b20c5352d0cb4655e3872742a968ef596d
1983-10,101.0,available,,,false,f7633c3bcc612b9b36bd23c336ff1a166628a150e6baefbec084ee2afcc823b6
1983-11,101.2,available,,,false,0ea3cdaa677e1cd1a3195b8bf27703f2edcdd2180d620c4ae814f278978996e7
1983-12,101.3,available,,,false,4cc24256344dd0a63fa18aade9dc25ded66a551688dfe39f875c4733106d84d1
