period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1962-01,30.0,available,,,false,43535708e13e821c27e2279ed9f62a857c7653495de3040e0b93a95eecaf99c4
1962-02,30.1,available,,,false,ee28f53d2cce3c6cca19f9b8dfa9562332045791a6cdbdeda229c420d5bbbd6f
1962-03,30.1,available,,,false,3859c56b43dc070da8c8c4a37d8b3ac036b99884cab87d648b1c991c38d44ab8
1962-04,30.2,available,,,false,c1b37d56e08d2796f275f94338672cebfc17c68e615097f79209799c2359c7ce
1962-05,30.2,available,,,false,bd51b1f66a7019dc09de6a97201661f888c5edd81873086c6b42850e62235598
1962-06,30.2,available,,,false,531d485edd66f63dcc7a93c2e9b73233de625005d859af0ef722a5ee9befdc31
1962-07,30.3,available,,,false,1687a36b54d7934ed81ac0526e68f8037bc2932a744d924944185e3647476922
1962-08,30.3,available,,,false,a5c71cbc559ab99d41e07464d04d3f7237481de78795726777c77615b31f432e
1962-09,30.4,available,,,false,51c317ba89ec85a88fc0603d4e1b552395d4866ebeb3e3858641e46275a0d40a
1962-10,30.4,available,,,false,205995390902c3da0257e8d8bd5c8553a38cca7625f0c2f835cb2d9fac44fd7e
1962-11,30.4,available,,,false,21e6ae30fbb69e12f9f748a3e637bd56a1582697e00e7c1deff3729867d37874
1962-12,30.4,available,,,false,95065d3dc1f49d048721d45d72ec5822603d03c010cdc8a6f3a4728d140e0e68
