period,sofr_percent,percentile_1_percent,percentile_25_percent,percentile_75_percent,percentile_99_percent,volume_billions,revision_indicator,footnote_id,source_record_sha256
2021-01-04,0.1,0.05,0.07,0.12,0.17,1046,,,49cd86caf06f1d499dc5030ea8ada184f37ae2b160810b9f18a6cbb28dc2a91c
2021-01-05,0.11,0.06,0.08,0.13,0.18,986,,,06cce2e4ad3f562dfa0929e9bd15f494faee591953c8d938d4b39609d8915972
2021-01-06,0.1,0.07,0.08,0.13,0.18,978,,,87ed4716555eb0e6643b5cd2ba12305758b61fa32cd9beac5dddf4a567f32482
2021-01-07,0.1,0.06,0.08,0.12,0.18,951,,,8d8ad2de3bf90dfb4a6ebe24479d779ae0b3bd5bd9cf15a01b9307a18eca08f4
2021-01-08,0.09,0.06,0.07,0.12,0.17,992,,,dfeba23068ae5143a004fafb305b8fdb3cd3ae7b7e374a5b1eb3701ed38a4c69
2021-01-11,0.09,0.05,0.07,0.11,0.17,964,,,db3ac33a03e26aba114f10a7d14dc122b41bea2af234a6676144f1b663e6aae0
2021-01-12,0.08,0.05,0.06,0.11,0.16,918,,,4246229f67ae679efc0c36b42bdde3e9f89f7f6915be51dcf88b13188948109a
2021-01-13,0.08,0.05,0.05,0.1,0.15,911,,,ed670bb49252326eb16f7c9f0890f7b51f3071a0d8f2cda29bd2ae879701ea9a
2021-01-14,0.08,0.04,0.05,0.1,0.16,887,,,cdc9f81e44a18965c71c496861e1089e663e7365c7e539f1b47497d72011835b
2021-01-15,0.08,0.05,0.05,0.1,0.15,904,,,2154fd195aec7e931664782f04e50e291b2b8029907bd508e8394b2c7a3d5fea
2021-01-19,0.07,0.04,0.05,0.09,0.15,936,,,347791091883e3d4214f3c342680ea201761020375bddaeb21297fee46b44ad4
2021-01-20,0.06,0.02,0.04,0.07,0.15,883,,,d5d9ccb39234233c44502d88fd992ff4a26e5e40c675100a9d8de981f378c3ba
2021-01-21,0.04,0.01,0.02,0.05,0.15,922,,,4e5dc226ca788148d623922fa363aa233550e9d27921f74da79c2123070e8ebb
2021-01-22,0.05,0.03,0.04,0.07,0.15,906,,,23fa8067ce993dbbbe769666ebe943af2d93dae5b2b67483e40ac2e5a3073de2
2021-01-25,0.06,0.03,0.05,0.09,0.15,885,,,5706f27db116a49ce82d5bec64c3a05a87d0323ab4c0d30d65459b88be934359
2021-01-26,0.03,0.01,0.02,0.05,0.15,926,,,71ff86e8997606dfd87057238d6b8a8d186cfbfda285b8bc28eb26c8ddca250b
2021-01-27,0.03,0.01,0.02,0.04,0.15,913,,,1716a73da689c748feb0ae8adf97a1138152617fedfd9221f1fb89897adf03cc
2021-01-28,0.04,0.02,0.03,0.06,0.15,906,,,c1f08c06120f55f41ae8642731f1522feb557a6f41ac5dd5066a4f3319721572
2021-01-29,0.06,0.03,0.04,0.07,0.15,915,,,cd8ae744fe32f1c900b9c5e64b9f6843f7a314b0d51fde9494566f971a4efc7a
2021-02-01,0.07,0.04,0.05,0.09,0.15,1010,,,c01ee9cf51105ee204cc276dc193fbd2f89286701fff47b2e3959c126d988fc4
2021-02-02,0.07,0.04,0.06,0.09,0.15,968,,,9601694c02e28b99ddac7d60ca76b409c780ff1dfadf1386850e7ba1652f1128
2021-02-03,0.07,0.03,0.06,0.1,0.15,962,,,9c3317ee10473a467c111885a10d18f41fc5d8111715bb1da580a9251f018430
2021-02-04,0.05,0.03,0.03,0.06,0.15,989,,,f0b2005a11a629fa3c232af361cb296afe2e720f7486cbe42855a7d79030ca37
2021-02-05,0.02,0.01,0.01,0.04,0.15,933,,,cd8e64b9182f2ae4c2eb2d685a484a1b7d644a6e1d9aa656e1ab1b890da1e5b3
2021-02-08,0.02,0.01,0.01,0.05,0.15,920,,,41b5e2f575cd8661ec7d76390781c7938c8daef57aec86a686e728e1b6dae766
2021-02-09,0.05,0.03,0.03,0.07,0.15,901,,,96caeb8b7ffbc7766d7fbc9f3d10b3db5a71c5c699916b618b975a2e1bf92c29
2021-02-10,0.06,0.04,0.05,0.09,0.15,884,,,7244c395ea44e822d4053c85c924f0367beae7277c319aa765489c6f1ecf3058
