period,gdp_millions_current_dollars,source_series_code,source_table_id,source_line_number,source_record_sha256
2002-Q1,10783500,A191RC,T10105,1,722e6b22044fc350105fa068a79ac924b62e23d4412bfb374eba45884f936800
2002-Q2,10887460,A191RC,T10105,1,c2a4b5b7b6321727a7050e62729fb3a1a26ce19f38e1d4b4ee08dc971b763fd0
2002-Q3,10984040,A191RC,T10105,1,16f7e35d5303abcd1c011f125dbf2cf259be509a84d1d55409d21323eaaeba86
2002-Q4,11061433,A191RC,T10105,1,644bdf4b9c6b12c2b058966d043f2229e29f552c7bb52a63a50acc1016943ea5
