period,ref_area,cli_index,obs_status,source_record_sha256
2024-01,A5M,100.6057,A,52644781593bf18317a8a9d76c6429d93983e6a5943571ce4dcb7d751a3cc999
2024-01,AUS,98.63672,A,69e396da538f15879af56eb866c8e8d91237877825075b31300714ccb462c244
2024-01,BRA,100.8827,A,58cf6c98288ca18b498a0602bdd68d950c138f1616ad01e8da178e14f67ac7bd
2024-01,CAN,97.45383,A,0cec8b9a136105223c19e661b37025a35adc68d9bdc0b0db696da41ef93e26ab
2024-01,CHN,101.5129,A,1cd5e0a42aa989007283b20d7dba9bcf82ee98362cd201ea74677cef1ee34419
2024-01,DEU,98.96143,A,9b65c51348b2e7f18e93610d160be859ed19672a04be89198e5b07ac0de8a70b
2024-01,ESP,99.30789,A,58a69c5cd4305d05e0fd2b34bd1bb8009623de5d0540f28d783993a0f838951a
2024-01,FRA,99.46001,A,b0f71186db45d49c04ae2c877b3042ab06af6b5a7317eaae1ddb3d3ed624cddc
2024-01,G20,99.94354,A,8430748cd4693a7327c16dbbb786236537208b8125cdfcc22c07eb2074280657
2024-01,G4E,99.26866,A,70015cac58d5f525a53b8529401c8faad253cff24c0d1d3f6160dc01b3e52f8d
2024-01,G7,99.17698,A,d231dfedb1e827f44789e23c9ee78feac921cc290f7c1f6e6d169962ece5439e
2024-01,GBR,99.66312,A,12df2a471c91944aab39f26075945f0fb31611b476389f44020e0e444385bee7
2024-01,IDN,99.39581,A,98bc23f622a505841e9a00a64864b5a0914f528dd29cf58ec0e9c25117c1064b
2024-01,IND,99.0768,A,62c7b93582cfa4140bf2cab6f22b3fbf59356d7c7726f684c9531c7a048fe8c6
2024-01,ITA,98.86887,A,632ba1c2c088fb221bb3d6db7179c2758a9b6c823433c0ff40641629745773d4
2024-01,JPN,99.78743,A,947ffac1b647b2c96bd7857c6b9212c5c41ed5d2349a9e4df8b1e11f114b4a4a
2024-01,KOR,99.25879,A,86523034d20047f991109e9715a3e160d65ff940a5949854944a76638240a7a7
2024-01,MEX,100.7408,A,bcf4aba2e704a23c18b11e5948a6e08049c6e5daa442fefb7c3ff8f7c92855da
2024-01,NAFTA,99.17255,A,5f6cd8f3612561c19bfceacebd0ebfcb034f8e7082aa62bda7f0a64973263810
2024-01,TUR,98.54441,A,fb24a73cae7c4622d9d40f28a48ca8a4973a6fcdbc2ba229d03b4fc443ea1a6f
2024-01,USA,99.13018,A,f8fb8f59c49609d62ef8d560b2904234bf431588cbb615ca9e8feff8b0a80ed6
2024-01,ZAF,98.77526,A,4a33d4846575b6773bba2325660aaf21b5c50ca47c35b98d97e9dbe8622241d5
2024-02,A5M,100.4738,A,f0be7979299c23bcc83a5df0fe793923f8e2073b418c174c2c519a85b9965f55
2024-02,AUS,98.73129,A,cca663792a299248b0d2bff8119ab2d5d855f3fec831862509eaa7eeb6afdb62
2024-02,BRA,101.0344,A,0eb4f2a2c7d4a537946825c0cdab354a2ce96f4dfa0314f744e1e362c4468bc7
2024-02,CAN,97.60515,A,69b3510363a1ff539d92e647ba5dbffc7b7fad5380e027fb486d76cd83d13731
2024-02,CHN,101.2316,A,86222f537a408cf8750fc0d5f413f47b8da4a9c295acbe0b5faaea4382cda447
2024-02,DEU,99.09673,A,d57c9a5a983c3abc3242b43eeda04224c7d4f97a7cfb0ecddfc9bf83286058b1
2024-02,ESP,99.30054,A,a386bc1b0f1dfbe3b9a326612c8edc9c6df9cd97311772ce8b4109b9da29bffa
2024-02,FRA,99.41638,A,7a32af66a585d52c2bebad283127afc012d2ee93fc604298b0bad857e3e0786f
2024-02,G20,99.93109,A,12fde079423ffef6c1acd52ab0f69042f6abbb4e3b268366005ebdae30d327c9
2024-02,G4E,99.35232,A,f3437e115f2fc8c34bc89cc5d2e983be4ad20904f05e27c50839ca619a98248b
2024-02,G7,99.27192,A,a15214e6a92ddb048c938a0bde1578c619520dc9319930c547c3045bb519a859
