period,stock_thousand_barrels,source_record_sha256
2014-01-03,326737,a10fb5af1d88975be56a8c418096e8f1a32935e688b8f4883809837f14dde62c
2014-01-10,319079,a6bc0a4675d852520342c260c80db212ae1c4fc247f8aaa9438e06640ae1e596
2014-01-17,320069,9fdbcbba3bb067f17574e966b7960e08e4d109f26e185ca046ec1774ec7861f7
2014-01-24,326490,cda05e155b553410ee66a82f5bf9bc264bdf06a3502e80299e78aff8289374a6
2014-01-31,326930,9d9a8b9a2357f048d31768a83de6339db1ec391fa17897745bdd1d008e606e4b
2014-02-07,329983,c0b71c798224410341fefae9a4336687ea40bc7166151d38f6432ad72ce195c9
2014-02-14,330956,d2205beed833e7ed17bfb9fd40fc7b1a5ed843fceccb3dcd8b80e131c6891a87
2014-02-21,331024,58fdfea1d9ee9bffbd2cf1d5b3403f16bd5c4b3ccbcece447dda5c873ee7e9cb
2014-02-28,332453,31781116fa711778753a52966c028e753b94ee9a84dab9e13cc0de20ac7b6bbe
2014-03-07,338333,3e2211cca86712b86a1b874f5913ce76296c60615aa3586b40c9a57129d855d7
2014-03-14,344183,921299bf5fec8369da52e32847f6e6bdbf877bc38e84c473c637d75789be5e41
2014-03-21,350802,a2d134a73b00c5466bd46b8ed14078491604ec7ae9b2ddaf611697ca39910bbb
2014-03-28,348423,7cda3bd5a9bb212078bec0519c47f9c0a3e1300a49bc863fa789969f0ddc14f5
2014-04-04,352341,30c3cd969d418a5936666113e2970632d6f9b85e6f87df5979760bec670bd14c
2014-04-11,362354,56ca8c0ef1cbc6a2640505fcd3724f97ff312a31faca23950b44d30df3b133ef
2014-04-18,365878,c895bc78bc41d15804d9169a23db888e20f5907513fd753cceb483c0b50b833a
2014-04-25,367576,20d58437d9bb0e5508dc5e6683a3efe1b29c5182df95c25788ea407ed82587f2
2014-05-02,366004,e42839f7bbe5004fd34e8123ea6c419e60dc956f9c568d9636fcbef0cb1471d5
2014-05-09,366951,4aa42cfa909ea6e84ea5247f0c22d5c6715d00a1508dfb994b458348eb4482a4
2014-05-16,359725,0a73e56dfae45bd7c9ae140067f9bf2f29feeb6bb19cbebf6638589658e2da61
2014-05-23,361382,6dc5130bf0186c969110461db16d91154e3e1dd52301dbca549448bd2009b6e2
2014-05-30,357951,70630b64d4da7a275bbd68cb72e9c114bb08710ee70d5ed6badb73b3c447a7d8
2014-06-06,355221,a07b7bd1d6f58e95b703a68d809e8854792c2b529cbbb3e143c777b06580553c
2014-06-13,354642,e2928b9969f6101f687899ed212e1094c40033eec9ca2501a9184a5d2d48a1ca
2014-06-20,356384,9096cf8d11489f180f1367f6843d16736196dc7a411bbf5995e08d256fd3efc6
2014-06-27,353229,fdb04392f779c79ce227d1a9b5eb80fd536a972465cc55225310ffbc6b26f4d0
2014-07-04,350822,16d010ea48410f7242443985982eb126433cf645f7998e02410015977a1b41ef
2014-07-11,343297,38274f3cfedb45a542d7c0b39c4019d0e16818fc71efecfebc89ee5f986cf852
2014-07-18,339328,b444d467e28144ff6deab97ce97a96308c9a9bb70feeb12b2a5685f8d216ca60
2014-07-25,335631,c97ec50534eea1fba824b7e4bc22a5b82129eec761d659ef512557446aa0871c
2014-08-01,334167,9bb3c1495c615465b8322dfd2727a4bfd850541aa1e01b7e1d3d8d1e1b6aaa56
2014-08-08,335568,690cee689819e8dbf25e8bdf86365fd965793e60e6f2f3f175a20d658eb04080
2014-08-15,331094,b565690fe1e13e04f6e1385d1829e9fe8cd7714ad6837028afc38a8f425e71a0
2014-08-22,329024,ab96a1c4565877166e0e776c48d57b87526df266b753d156d14c35da16c1b9e7
2014-08-29,328119,5f5a8d19a7a511aaa61fe2898a245856b8451b61e9aa983332f84019ecd29b9b
2014-09-05,327428,927cf02ba9aab9e771371ffb4f1188308e55e48eddb54fa0f5c7c6135ab2b506
2014-09-12,331101,2269ae796447ea1809e67769056589545dfcfa0c0a11540a93764e1d6744e6bb
2014-09-19,326828,4e250f1c50107efb8d06f224bd365671f0bd7d92c6c7b03ac462d5eed0219629
2014-09-26,325465,628fe1ccd5ed61af844a7fa41fd714b034d29506fff10617daae900ad34c39ac
2014-10-03,330380,99d881417d6a39f7711fd716fa98dac82847226b9cafd8c343d86ff351f13712
2014-10-10,339303,4587614e68d39015fd8b5734177439895ba6aa09a6b389bbc9c61baa6041e9d2
2014-10-17,346414,a2d889ab84e07f3ac2161b52cba280e4ecef34754cbb2376017c04c6e3a3f039
2014-10-24,348475,e87ef74209213e2a76c56bede9bd0dac4e4511cd6ad82886f48c9dd2e15a2bfa
2014-10-31,348935,5ee54fa1daad166651a382d4b9516c8f5eb841c7810b8d643924db9dc08bb1b3
2014-11-07,346150,5358266a30fd330624952107bff913084d295c54f6cf73c67966675f63307d8c
2014-11-14,348758,fd37cf336ed5e3dedab9e1852d37a8e59505a7b43d5d8e2ac7541b5f3e90b84d
2014-11-21,350704,4de8d36b059bc69517b5c7ab227f2b0be988806f88f69d74f0c96f7345e3a996
2014-11-28,347015,b2f4ffa45e10bd7b0b2518f9adf73deaa2e568a44544aba6fa74abd2ae4bc78b
2014-12-05,348313,c6e8d23c9a3e85e46d7ed4e87d65ca3a94389000b9ebdf380111b930d97da5eb
2014-12-12,347466,9147c52c166767d88bf55f4ddb0d1c7f2853206a8e10a6c281640fbc7a087b19
2014-12-19,354733,442f8133709d5f8b377d67f41409bee4c919a7e06b401b875228626659f5929a
2014-12-26,352979,ad2d9828241c751d99f726d3c7859c7db6b660b67170691d10a525b23f850368
