period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
2024-01,308.417,available,,,false,e29ab5ca7f8ecf05a1749b1a06eabed08e11f3ad88e02b66f47c60702288f253
2024-02,310.326,available,,,false,b549ffd41e7072ab2feb9fb6c58c95bba65f40c637123a139e72b77239283a61
2024-03,312.332,available,,,false,580222f578c5d48b6718988fd58e73cf865cd35b943759c6701cb2e133a43124
2024-04,313.548,available,,,false,d0a352049b8c54fea9eb46eec7707349ad76feb997d23ff1c9f968af8124fea8
2024-05,314.069,available,,,false,0e48ca03392be23412e3ccfa4043e3885bd4284fafd646c23cd52fa8e4a8c99a
2024-06,314.175,available,,,false,5e1ba523eda1e4f31d2202d1f42b9929a36bb77adf4aff84b61f664ca47797da
2024-07,314.540,available,,,false,a02503537d4a1af9c96f51910c55c05eb12a9bfa28c1e52ab9784d58ef787be5
2024-08,314.796,available,,,false,ff0e35e752e6a5934e1efe75f81fc5ee00e34093f88b4474805bf96c34e2930d
2024-09,315.301,available,,,false,90dfb8e87cef45dc835a89599080f19fd165d907886d12e60ce3ccce92821348
2024-10,315.664,available,,,false,9e7bffe19fa7f22f0d2d74dca6c0e9f3a6e1413df5e983ee167835b8d994d4c5
2024-11,315.493,available,,,false,f8d99cbaf9893f2185ffcda1f078229922856cc442b51cca7b83049e3f1a57bf
2024-12,315.605,available,,,false,f3f30619f245097b4e2d5f42fea4cd4481ffe8d0f6a1f3b0b31d8cbb502b2b75
