period,base_rate_percent,source_record_sha256
2002-01,4,402536655aec390e2c8d659f70592224613079483e1932306ececa8420c8275e
2002-02,4,0b14a6197f25da3cb6e061134bb2c94409692e6e0c1dcc96d55984c96a30b00a
2002-03,4,3fa5e5a0bc0040315f846ca0043c297be700b1ac9c5d78861d31e1d77b342303
2002-04,4,dac7084487a542dd0aa86d20608f1820b0230797da3c58f4c92b3e722fc615a9
2002-05,4.25,b27142becd85d3822bbb4c27b2691782f2a9b1d31e845e155a8a3236f2b5f81f
2002-06,4.25,1b7504cdaaf54a7d6af8acbb84cb0a0a1f6104aa54e60633523c7e8d40cc5d7a
2002-07,4.25,6b623e2c30c1cf62dce1298954287b5229020318ccf7443c742400a8ff5294f4
2002-08,4.25,78d5ef3177e0efb581b02c93e09314d24780c145da8a8921663d3c6ce7cc4463
2002-09,4.25,b439a1fd423b150fec7954518279698bac824f6c81356539d09d5599b8e065f1
2002-10,4.25,cffdc87c381f374fd1cbe7e1b5a04cbb46f1da92a71d904e0c13e2be3b72337c
2002-11,4.25,de47499e1b9c5dd7e04f760b11dcbc558c7fade0e0b593f32cc6df18df064497
2002-12,4.25,89aa2e054128b95fcee23745ac8b7e750fc64e993655637f82b44247d6faa732
