period,sofr_percent,percentile_1_percent,percentile_25_percent,percentile_75_percent,percentile_99_percent,volume_billions,revision_indicator,footnote_id,source_record_sha256
2022-01-03,0.05,-0.01,0.04,0.06,0.15,972,,,33a93c2489c619c3cc044ec411f63ba0e52e90f012af791cc54104b7eeb9bda2
2022-01-04,0.05,0.0,0.05,0.06,0.15,976,,,0743991c8da1d7da35abd6244ccd658d83d8abe06ad15f37cf444f848d4e5e2c
2022-01-05,0.05,0.0,0.04,0.06,0.15,946,,,00159d77415bb925856a1958fb29d56407660f56b81fa098f3098a3be5fbb967
2022-01-06,0.05,0.0,0.04,0.06,0.15,942,,,ff78a1250111163d92a4b8570f129b52a9c36c996e0fad3762c01765d1609d92
2022-01-07,0.05,0.0,0.04,0.05,0.15,929,,,c34135a7250d82192aaeabab6e1cc73546b968f67f5ec2ff7122768266b37aa0
2022-01-10,0.05,-0.01,0.03,0.05,0.15,919,,,92394895ddcf13afd39f74b4f1d99484970e8d2efdc5bf0b7242ba7237f86e0f
2022-01-11,0.05,-0.01,0.03,0.05,0.15,935,,,da5e102b291cb3b825d4d49a4f664206c3d54a3650ebe3819ccf0509fe04282e
2022-01-12,0.05,-0.01,0.03,0.05,0.15,891,,,f204ce5ec61689ff243149be48ea9348a8ed3b7e5d8f1fe101eb531291eda2de
2022-01-13,0.05,-0.01,0.02,0.05,0.15,892,,,011eafebc44bed860ffb507513b338f51f1db3eb1c90d09743d873d0a0e2fcfe
2022-01-14,0.05,-0.02,0.02,0.05,0.15,874,,,abdaeafd3d9ec0ff8642bcbd4927dc870732620fb8840860687c0f7b8a12f15c
2022-01-18,0.05,-0.01,0.03,0.05,0.15,954,,,7efce62771eadde56351c109b5d9374e8eaa280729ed1b2053836537e4a8f66c
2022-01-19,0.05,-0.01,0.02,0.05,0.15,917,,,1d7f6ffd423ce02f412f3e2c4cf981c62e3b79578aa2f3ea896deb1f91c216a6
