period,gdp_millions_current_dollars,source_series_code,source_table_id,source_line_number,source_record_sha256
2022-Q1,25250347,A191RC,T10105,1,5b00454413a2688738c56bf6bc4f67774603a4039506e6d8fbd6eccb25b2dd11
2022-Q2,25861292,A191RC,T10105,1,202e147889a837d683582ce22c01051876c07a752311b8d487a83de93789d7fb
2022-Q3,26336304,A191RC,T10105,1,b5c3117c0046627b00536f2b3e0a689096877fbcb809e0bb41e83bde3d1a4f4b
2022-Q4,26770514,A191RC,T10105,1,e8c399764d52e453c2c25f4d33453df0922098d2663f43d5ce816e1633148ae7
