period,base_rate_percent,source_record_sha256
2005-01,3.25,80c05f72c27136cebefa3d7c442f80743b162e49c6392c74ccd028028b4952d1
2005-02,3.25,09c300adf2cfdc42d5479a1e78859a47553b9f5f1a291fad969f201d2fd3d0aa
2005-03,3.25,5e0bb983c72da5a17dd0e708229b0c9b4a358ec0143e7efaac4d7850977a6b57
2005-04,3.25,afc15c27dcdd52b58afaea24d54015164ea15f770a62b5e05d04575fc9d2310d
2005-05,3.25,fb6b10852c0dd5ed7fd10852eb7860e2c691ff805bc1e4559d9f55657aa7fdd1
2005-06,3.25,748f909463e2a98cd671b9de0bae0590e0e6e367d4f3127b49bdf589ead0e42d
2005-07,3.25,8822c7a0e8734c857374077bd46e40173fa5d77f90e8b58a750adaf1fbc82582
2005-08,3.25,59365f8c25760532a1618c3c0244dde4d94458001953a9d968d1b35ae360b06e
2005-09,3.25,f316bb90b9851a8d0690046def4a590accd59ac5df0bbeec5b1eb1625976da70
2005-10,3.5,b80c69f40c44080f659e58b0eeaca91f4a16e6310bae3e0959b4d46619d894ed
2005-11,3.5,cfc69be0c16571662c188bcbd62c4f6692714b38b877b9caca0b41033174f0ac
2005-12,3.75,a9d234b51485c1165e52fc25a6b709deb88f52891216974a54737a9e302763ba
