period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1952-01,26.5,available,,,false,bef98f63eb725c67fe1be10882a1f3058af72a2a088a959a513f08a8a861f7f8
1952-02,26.3,available,,,false,745da4140be16fe6f43c957f3200989b5e12c2d7676022420e2d6a8ba940fa6b
1952-03,26.3,available,,,false,343392f8e7ff19076cb8efc9864c30e6c1c21f16774ef80536bd941b568259df
1952-04,26.4,available,,,false,6e5b60813b0c740485ac4d467cbf61740b5d1124e7d0859f267337231d7b5ee1
1952-05,26.4,available,,,false,9a32f6d210882d4f8c828da8ee392cad0e2e62275cffd49f8ffc92e788442388
1952-06,26.5,available,,,false,e5035a95da428fba12f0e7d73196f04b42d0dd7886dd35fc40d5d19e36cba9f8
1952-07,26.7,available,,,false,6a984fd43acc95eeaf7fa7439489f68a872119b83d7435f15a1fa5c2d10daf72
1952-08,26.7,available,,,false,230b4a5dcc5090bf6d4ab190247e5b4abbcdb83b2eefc7545f6db88a9a7e347f
1952-09,26.7,available,,,false,2005fa5dbd5c2d23b0799ba490275485af50f4831a90aefbdaaa488188a6e2fa
1952-10,26.7,available,,,false,bb484a0e3279d3f4e9534254b0440dfc6447543db35a22a82e40a35f199c99f5
1952-11,26.7,available,,,false,7767330e4bdfbaec24883b9805458c93a929c5790262dcdabe91cb3f6c85f45c
1952-12,26.7,available,,,false,4b421e817f5635124b25476f90b9d2c7b2f946e727ca3da7c0f87c110243e71b
