period,base_rate_percent,source_record_sha256
2010-01,2,c9bcca88a7517ba02be2388b47f6ded5d0d5a6db17aa3adcca5dae3a3ebfaa33
2010-02,2,14d38853f31e5ef6d3577eb0c7c176a3becaabaee75d442d764c01a69b1b7cef
2010-03,2,299b87341ae2ccb8e2baaabe471264a383fd65cf6ae3d85cc22b60b71088e76d
2010-04,2,edeaf10e3d3669b78a6835a3b29c8aa69e60f7ee6db89a05ca0bb266239ac421
2010-05,2,f018bf11df73187d866090e618dbf5f5f42040588d11ae438476b2b6104507d1
2010-06,2,15516a91abc0f113b3af40295e4074f32ff41905faa6c9a2f56a2fb9f203628b
2010-07,2.25,24d20a2aae30e431d58e6e92c61fd6befc50f6a90b04191bc07356070d4f4333
2010-08,2.25,2ed2b9b4c18b95796621bc7e2d12a8098b20ad22472ca65f223ddd2d559769f9
2010-09,2.25,e8d9dac2d8ef8451f139a58eb2327836ffd524be0459c654cd107d04b0d385e6
2010-10,2.25,5264c9bbd316a14190cccdbe079201886acc9abdc07d1c5484de19318646c383
2010-11,2.5,9c0a4c28d1221904b6b9d14785d2d9ecff9c859400648f3d58d445be66b9fffe
2010-12,2.5,3229d8efcbd8e2839d621f26757799b6916c98ecc7f8037283c040fda09e75e8
