period,sofr_percent,percentile_1_percent,percentile_25_percent,percentile_75_percent,percentile_99_percent,volume_billions,revision_indicator,footnote_id,source_record_sha256
2023-01-03,4.31,4.22,4.28,4.35,4.44,1257,,,6d95f501f9ccb5ba31247b2ab65d100a7e895d24045407564ec7722e5e5bc4c1
2023-01-04,4.3,4.22,4.28,4.35,4.44,1136,,,44423601773ed8ccc27b3775d1c777e8acf20b85cf4109f574647c6abfb59980
2023-01-05,4.31,4.23,4.29,4.35,4.45,1134,,,8421d9570f92be39e9d13d40de4320f5c2e79ea024119308c1f6a75320638a25
2023-01-06,4.31,4.22,4.29,4.35,4.45,1118,,,f26d2e46ca07cbf9ca285e5e5324397f0ff4e263cd6c5b8241de417f3fd9cdc2
2023-01-09,4.31,4.23,4.29,4.34,4.45,1127,,,dfcc8885f468d405b41381b854cf0269eb3225bfe14ee6ba4ba1158099f90ab3
2023-01-10,4.31,4.23,4.29,4.34,4.41,1124,,,8757024d389be1ca8903b2f39bb5e831b2e0e7f7108cb739edaa0eea706f72e9
2023-01-11,4.3,4.23,4.28,4.34,4.41,1142,,,a0ebe17e857b37ba96d902d4791ba0f64a5377a4324cd8677846a8f42c184a89
2023-01-12,4.3,4.22,4.29,4.34,4.41,1108,,,1568f36288942b300c9c6002985f30fa899825347999f96b371628520b32f58f
2023-01-13,4.3,4.22,4.28,4.33,4.41,1101,,,2a55d0f1327c6cf97e8f9c3fe3f5f30ec00b84f56c2bbb5cf6116e7889e62397
2023-01-17,4.31,4.23,4.3,4.37,4.43,1248,,,efa652af34c00b564ef5ffb05e39f05af4d4a48d8d6546512684ed28e3542da2
2023-01-18,4.3,4.22,4.29,4.34,4.4,1193,,,ac9dff94b41fdae6642ba4452a98a5b1bab4f109074541db0363f3d7f63b0e91
2023-01-19,4.31,4.23,4.29,4.34,4.4,1231,,,5901c67fde7d3053a0231562b87f8e7ddc5e9293c49e1589075c3633954b2ffa
2023-01-20,4.3,4.22,4.28,4.33,4.39,1169,,,830d9000c9043b140fb9264a7af8069dd9444e6bfdfebf60e2d0ae319ccc828b
2023-01-23,4.3,4.22,4.27,4.31,4.37,1150,,,3a996a5f064b05ee2b5cff47ddf4ca8bf5c4b9bb3832406464e7f509bc7660d2
2023-01-24,4.3,4.23,4.29,4.34,4.39,1163,,,c7c1cb6ca78efdac8f24b792b3ad2d6375462c687f484372e1e38a976410b8ab
2023-01-25,4.31,4.23,4.29,4.34,4.38,1157,,,3650f1e5125e541e38c806ab9237801a61aedf57464e20200f5a0bd40cd2ee16
2023-01-26,4.3,4.23,4.29,4.34,4.39,1165,,,c5e1ae074d5dab9d783988176178bd40bcb079a7da5d118209515faba9490022
2023-01-27,4.3,4.23,4.29,4.33,4.38,1165,,,80b434b539f1db94885eff14bb6ad73d94c4adf27259b8fab8312bd573fd88a2
2023-01-30,4.3,4.22,4.28,4.33,4.4,1158,,,c05d62915fd275cdc7d526494200dd22ff507d160e4150cf6abed14a1f57e787
2023-01-31,4.31,4.23,4.3,4.36,4.41,1281,,,4439e87cf6d1b4d9a98354939f43da3e088ba054db2ffb15ec16b58a4d5a99d2
2023-02-01,4.31,4.23,4.3,4.35,4.4,1199,,,c2336660b6a8b9adff434557c954ecbde61b31ce050ed9d65e8c27bb065b14dd
2023-02-02,4.56,4.32,4.54,4.6,4.64,1290,,,82152a71c03aa0893d4b33d3bf5bc3cabc36cef9bb94f6426b1fb842c27be2ef
2023-02-03,4.55,4.48,4.53,4.58,4.63,1216,,,142650b0c3f64b21c15b02ba1d07c6c713295a30207f7fdd34eb34e2460ed49b
2023-02-06,4.55,4.47,4.53,4.58,4.62,1209,,,336b57b94eaa83128c90b7f3274f43f9ad83ee97d703d700bdccd7a67533c92c
2023-02-07,4.55,4.48,4.53,4.58,4.63,1208,,,0d866b6da771d4fe918d2c107d0c58e4bd008676ed2821e35ee7ce1ba24b7586
2023-02-08,4.55,4.47,4.53,4.58,4.63,1184,,,d2982d192c1c8b9bfb1b4276179e375f1d0ffda8706a236a7cef214b706bc8d9
2023-02-09,4.55,4.48,4.53,4.59,4.64,1212,,,f36d7958d5997e33146ac2d5bc4424818c5c175b1dac7f8c2671590b57e4c783
2023-02-10,4.55,4.47,4.53,4.58,4.63,1186,,,ad4627532313a648877e6bc596e4481ac9b183b2ec8f3e3417b580b21de152e0
2023-02-13,4.55,4.48,4.53,4.58,4.63,1153,,,4164c32fd4e1899b7b5179778b781e35ba32b96aeb01d18a795fc54475b58575
2023-02-14,4.55,4.47,4.53,4.59,4.63,1216,,,8f533931ee202b49f5fa1159676092ba1f20739e8bee94c637352fff726350fb
2023-02-15,4.55,4.48,4.54,4.6,4.64,1239,,,e3f94e8e14ea4445d6a30b98f5a195930e27228c0047001217f1fa410bd07073
2023-02-16,4.55,4.48,4.54,4.6,4.64,1244,,,ff869c85b67488ce96598e23cd0f99d988edcb456a5c13ba0b45256ceab04306
