period,gdp_millions_current_dollars,source_series_code,source_table_id,source_line_number,source_record_sha256
2006-Q1,13599160,A191RC,T10105,1,5e8b7a47b3b2b3637de86ef53420dfc6dfd84408eae8d6a3277df2771802818c
2006-Q2,13753424,A191RC,T10105,1,6afdcfa67082af25b3d0d4845da15a1cd79a521731a6954fd13039ba1a52857d
2006-Q3,13870188,A191RC,T10105,1,f944e5153c0acc1543b70db27c4d8aafc5bfd70a99cb7abd7f621198bffc49c3
2006-Q4,14039560,A191RC,T10105,1,64c8a6bebcfd1b304e176944670de37adf42922ef80b97c94c861e4a514b4605
