period,gdp_millions_current_dollars,source_series_code,source_table_id,source_line_number,source_record_sha256
1960-Q1,542648,A191RC,T10105,1,4457811a79286d3ced0bc98aa8c6aaef6584c2708bc637c13526c59d394e3424
1960-Q2,541080,A191RC,T10105,1,14f4da45d927cb3952a70cba993db641b9689aaaea40cafd5f17d5391f615870
1960-Q3,545604,A191RC,T10105,1,a9f5154395c73fffb4431ca525ff2927326f0eb07ff671b9a596642b4bc157de
1960-Q4,540197,A191RC,T10105,1,a8506d3ec6f19d0a941721da1ba53f9a3e2031ec32790e751d460c08e5d63f85
