period,debt_held_by_public,intragovernmental_holdings,total_public_debt_outstanding,source_line_number,source_record_sha256
2016-01-04,13669500801836.00,5231431888181.04,18900932690017.04,1,77f579a0dcaa0926415b28c10b39593eced73633a22e9f6a2296575420fa83cf
2016-01-05,13670583998983.56,5247861651601.14,18918445650584.70,1,ddc1dfe4e1da98b5f3ce96e8058db9fdbd92d156162f64656aebb206694192cc
2016-01-06,13670031542154.47,5248348675418.70,18918380217573.17,1,0978c552c0dadde7e88b8b39d6fd1de3798922caff7f11c0c22c60d1a68b9efb
2016-01-07,13634966776002.99,5252909985102.14,18887876761105.13,1,3c2f995e2bcc1af7ee0ca37e4a18952e343d2c991b86d23cc68f232659ab943e
2016-01-08,13635120704335.12,5253519296094.57,18888640000429.69,1,f1ea1e6288ef373a8a26e6d6efb75a2892bf599d78ec2fac5d23386ad287fc88
2016-01-11,13634547255405.73,5257322346719.43,18891869602125.16,1,6c09d12490db752e55e769e4beac1d59c92bd0efe3666199d61d07630512d4dc
2016-01-12,13634464144154.11,5263218081433.78,18897682225587.89,1,45f2374c4e67e8dbf919365186858cc88bb6d0d075cbbbae6e676c574155138a
2016-01-13,13634512503358.73,5321266111682.46,18955778615041.19,1,418b1e266aadf2f2fe175fa1c61a4b8f1691336f65f5fb3ce9aa0be37f83edd9
2016-01-14,13599643378868.76,5323915113994.19,18923558492862.95,1,c0d484b91cd9fe079bf45a12705cab49546293b79ca9f7a2e9e722a9a1c0d31a
2016-01-15,13604857512453.96,5329732254781.00,18934589767234.96,1,8c33c7bc8650a5287e23936ea194a5769fbb07ee5c1c5e146021fd6d6c8bc59c
2016-01-19,13604762255405.85,5335877921830.74,18940640177236.59,1,81d29c42e6dac9c2fbfebb2c18cac45d4c5c5380d592c3c3fd519911dfb09345
2016-01-20,13605230659952.67,5336176239299.48,18941406899252.15,1,1e61e215e66054d391657bb1b8fa7dc7919bc999cb68342c22255bb05d4a7fd1
2016-01-21,13618066597558.58,5340770720675.04,18958837318233.62,1,bd418dd4735de4d401e833099a5d1e1ff1d3ad8b352a1e2cc9c23f929b53e7fe
2016-01-22,13618136618476.23,5343501354590.19,18961637973066.42,1,e8995777d16e2a4f63ce57ff618675c7492b09a5f42bcf0f9e84c714bfc02e77
2016-01-25,13618253426312.79,5343714665198.40,18961968091511.19,1,29e6be79d03140f50d8a9c64e4e48f566747a270c6857fdb0a28bc59da163fc4
