period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1964-01,30.9,available,,,false,9f07ba27bcf7c8d270bc436855c8a086ba19a2e3b8971f392a5ff40c159d3467
1964-02,30.9,available,,,false,2c66b2edbf66b7b3931300f24cfc5696928bf8af49b9444148b621b4dcf68262
1964-03,30.9,available,,,false,0438d8f566e0d088145dead908efceb9c941ac6c426a18a960bf4285ac06a045
1964-04,30.9,available,,,false,6eb4e2f88a3d9edb2447a91c91bb9a38cfdc99e7a9b4144295ed83a49bd437ef
1964-05,30.9,available,,,false,d7e081ebc50cce054ace78524b0f492c9531674ad243672b6b6a60eae83e2331
1964-06,31.0,available,,,false,d4634cda5244795be776cea142bba59a21e331b9b37d73e87223b4a879531aae
1964-07,31.1,available,,,false,2e80f63eed3d8e25f2906f72b19805a15ce88fea7e3c2d645d4d1f45172be92f
1964-08,31.0,available,,,false,d14c59b60180add1ed6d8c57aad994b5bb654f2366c066aa0a2bb4537fe187a1
1964-09,31.1,available,,,false,ff263bbf742b0c4f3481a8defa3bff40a0a46733c5069e065dca73f46e1ed105
1964-10,31.1,available,,,false,6884d524e20416c61045b09196a4c52c1655a5f2d61f987fcef0ec594ee4e258
1964-11,31.2,available,,,false,9e6fe012d27cd624f3c0d446fce4a77abeacb24e12fc8f96c54734336761c0e1
1964-12,31.2,available,,,false,86e9a057f1631b7439a86628d5b5de06399f4535d1ef9c00bcfebfc1837227ea
