period,debt_held_by_public,intragovernmental_holdings,total_public_debt_outstanding,source_line_number,source_record_sha256
1996-01-02,null,null,4988495380113.30,1,f6943aa46e64db213c5ca0f1538aee34115e795a910bf72190df0fc8a9e9ddd8
1996-01-03,null,null,4988377902358.91,1,6f258582312d6e77701aa6a6caf8c702ad48071d3cf79a2c2bc3f2fce20a3023
1996-01-04,null,null,4988799676202.14,1,c5148d896207923ef7bdf6de68f51530ec2658134d3968dff5e705399141bf98
1996-01-05,null,null,4988684680496.49,1,48d72321504c94be0702e03227863eeba65d88a44eda28e425514480ab29f2a7
1996-01-08,null,null,4988332827046.05,1,9f4f98f0d167647cc39dc531ec89599a44a67fa0d51103e72e3ab1e37edb6add
1996-01-09,null,null,4988213274327.90,1,2b4310823eb3bd7a566ae9c622ed3b52b9c569ee9fe4013a4236a1304923806f
1996-01-10,null,null,4988095990243.59,1,095ff96bc575a339725627860cedc9416ea6c9c3c82bab27d77d196f9d79e5a0
1996-01-11,null,null,4989450461297.78,1,a2dfe89f4480e55216c955f7efec85cfb053f45022aeeb6a22b1d751e665682e
1996-01-12,null,null,4988740098872.67,1,cc28729287feb564f675b69dffafd53b49779569f16510919b3ff30d92fa4091
1996-01-16,null,null,4988274713934.98,1,f71ece672b5ca70b5b7243bc5cb9127e386869bf21ab616e3b2e6a2a30af7ba2
1996-01-17,null,null,4988158117596.21,1,60fa2ac5332a36824449809e6e98cd2dc30395f242d16e9a2f3623cb92ce8cc1
1996-01-18,null,null,4988513306997.24,1,49807bdc7a1587df2d4bcad593391f176ef95c2dd722158f34adc50dcbb7cf0b
1996-01-19,null,null,4988397941589.45,1,a65a0697ea404290002b7e0a697abb45293c5dfa309fc693a04160f031d46fc6
1996-01-22,null,null,4988050606130.79,1,570ce9afdd0cac04173060436a093eea5b1edc65a5ab09b17e599f66b124d7e1
1996-01-23,null,null,4987963203048.04,1,9b62182fba421b192009e456794c440c2c00be041f483b069b919a5687deceb0
1996-01-24,null,null,4987847422144.35,1,d2c4c4aa302c2393590324e22c37d4541ac5f2c7ef291bbe40a1b4a5e1e5efb4
1996-01-25,null,null,4988163912933.72,1,a4661a8f630236fb08f682011f76684eb9a8e697e176ef1a7496202006f7eaf5
1996-01-26,null,null,4988049049893.41,1,348790c833736ef079a06a6f88e249cfd3b4be25aa401161c6466413617dc983
1996-01-29,null,null,4987704420651.53,1,3ca20dddd6c5a67d0ada797810295a479827804223b994d74d3463c054e409a3
1996-01-30,null,null,4987589544052.52,1,da92118da68868dcf338420d6f07d3b31bc301d5589c9bf40f22611bee3dbd01
1996-01-31,null,null,4987436358165.20,1,99a1465c85569d0f5079c0d4e937486edf2e8b1e92a8f801eab2041deb88919d
1996-02-01,null,null,4987850076950.12,1,2e98c381aef02dbac652dc0f5ce63baa0c0043a5863adfebc02ebba329995874
1996-02-02,null,null,4987737851975.58,1,4ac3882a2b6fecb6b8b63e0db18722199967bb304934e7a03e459d21a14deff9
1996-02-05,null,null,4987400986833.50,1,a0269d4e8f1d0597c9c7bbfefc2c29687235a6fc1185c43d1d31a649766cb914
1996-02-06,null,null,4987363241808.75,1,d300132cf5fcd4cd3355fca603a094a189d4b03148d728a6d846507c5435f3a9
1996-02-07,null,null,4987176568238.63,1,b674b8b7ec7c6e27b3434aecbeeeda903fe08fa9d09c1602cf8bdccd289d7030
1996-02-08,null,null,4988549905457.27,1,14dfe132c9062c94d841140f8f55fbddce40eee561227bf9b1715c04fd9494ce
1996-02-09,null,null,4988438189998.39,1,d8302267cbe7de86599c15cc8f5b287b67eb7ac21330669461a82c49b0d87967
1996-02-12,null,null,4988099511917.33,1,67d8a08d1e8e5e095e75ac8559921452e80a35dfea4af75e81a006d31dba6506
1996-02-13,null,null,4987987790186.56,1,e63dc83d252f77c27c9b7be3be75ce3ef895906f756fbae824e19bcd03947812
1996-02-14,null,null,4987876063640.29,1,c0731267f14aea5b6c14626e7506633780266614019af9773387b80d7871d5ad
1996-02-15,null,null,4988268852976.09,1,cee2a291862810919da974c32a0423bd1305ae0bffd9b20f0b862bf588da15ae
1996-02-16,null,null,4988156411695.05,1,002600fdc7678cb937c1c87a2306ddaeeb8dbcf9ce582708d30447df4ae87516
1996-02-20,null,null,4987706668956.82,1,37963bb41065035951d92c9ec5deca1c11b1ced110dbd1ad6aedeede3542fb68
1996-02-21,null,null,4987594227093.98,1,c36b755022980ea5b1a01216cf554786ee4fd48d24e1c39babcf920e424d0d74
1996-02-22,null,null,4987959914205.44,1,2b28e22b07d73b2a7cceb1011cfc0f85a79496ff53c303ba1757a0b2a6e75b92
1996-02-23,null,null,5017056630040.53,1,beb92fb25cdbe321b1a33f178944b14f99385bbfcb27b65ea6d3190c32fbee9d
1996-02-26,null,null,5016711273397.77,1,caf34547ccaa64254d1b7de42ea6a03a47743b2b67a6e507856e6eef5abfbc7d
1996-02-27,null,null,5016697045327.39,1,51860aa64f5fa9fa631dd797b3c63bdcc1026ead1472765c4654e24e7576b076
1996-02-28,null,null,5016626373909.94,1,775e4fdd939231fa4d543430d1bb547d0a441e0c38a4d4a01559603f56ecdf9f
1996-02-29,null,null,5016040703255.02,1,8658b0a5ef2ab25b8a20b127ff5e20fbeb9a2b70aebb58292f3b52aa2155c7d2
1996-03-01,null,null,5016937617649.77,1,a67692f9daa3f4901dbc0553b776172f15f6c975e8607f6ac7f1635601c82964
1996-03-04,null,null,5016596270543.66,1,f7fecdf716f5aa4db0e2cd5fa70d194509162ced98102fe41d1a7b79900e3a43
1996-03-05,null,null,5016462295493.85,1,9cab02b8d0345e5d63fa3dbaf600e86e2e997bd2387b2b956db9d2e6709bf0ef
1996-03-06,null,null,5016347467901.57,1,985ce5b9e25c6947af2bb15ea7e519b1618bcb8c2782e4296cc35761961c437a
1996-03-07,null,null,5017740794543.75,1,4aef25597ba74be98ed9a813c5352c84c457609f6c73bf9d1958c2a0e6577e92
1996-03-08,null,null,5017686664137.86,1,da43ab1cc7d39c731b5785b681d031e750a3404e6f984360e49995d57e18431a
1996-03-11,null,null,5017403575141.97,1,0787b4c65c9b1c25433790849a366cee03beed6e96745fc9e264794b60907f68
1996-03-12,null,null,5017283591910.03,1,31bda0a1eeceb87e59c8a6fc4aebdf38a8cd46c882d5ef01a277b62dc39d4af8
1996-03-13,null,null,5025887531178.79,1,ea9e422b81faeca75d3b3d7ec06362e686cd515d391ddde5c740bd2d6948bf38
1996-03-14,null,null,5035165720616.33,1,538cc379fd0d624fadc975a1a813fbe8b36d4e70637703dee76df57627648b09
