period,deposit_facility_rate_percent,obs_status,obs_conf,obs_pre_break,source_record_sha256
2015-01-01,-0.2,A,F,,221449ccf9c495c6e423de6ae5a85ae5baca12a05ed3eb8fba11bdffc5c73b91
2015-01-02,-0.2,A,F,,11dfce14b7ab896b60eaf2656a1ee8a90a08565ca48431ef13b35b610ec60596
2015-01-03,-0.2,A,F,,a282cb94ce89d20b45ed14c19a71db550df76559e32d10b95b04b7ef16186ee1
2015-01-04,-0.2,A,F,,79d0e9116e7a5f444a1067bfa5f94897bba2afc234a77d10b0ae4d570f07ccb2
2015-01-05,-0.2,A,F,,b8543c63d65e4a2d4d1ee04f802785ec504e1278d1eee2fa58f7155e9e3ad3d7
2015-01-06,-0.2,A,F,,af5f3d91c4714bc5665bcc4115069059bba4548c5c77e1f592441761e4777b5e
2015-01-07,-0.2,A,F,,10884637e8b045225edef6c7fe3c1e4a81924bd78b395b965b7e7a0e8e57b255
2015-01-08,-0.2,A,F,,367d4c943734a5b39f4bd86c21e1a812c8f06831ea8b2252569f9258b5672994
2015-01-09,-0.2,A,F,,82666f5153c3bc02f57d1ab4b4ebe27217f133771a41864a5c0a1f16b6549f5f
2015-01-10,-0.2,A,F,,c094a1186f875da5055727ad5e761cd5b16419aee6e9d1246f135bdbf2334bd8
2015-01-11,-0.2,A,F,,9b14198ba665eb5d12561cd5a84a04e50a0fa2d9a42834b516ccfecae5ba4b90
2015-01-12,-0.2,A,F,,39475702f34c5710e29b8d37e2d8543cb098bf98378bbb55987e6c9c98d529a8
2015-01-13,-0.2,A,F,,db7fcd606d590836003122f8f4d6e59c0f3610b86f25f65d9bf8a876814e7edd
2015-01-14,-0.2,A,F,,9ee502d84cdd4dfa860b26226d09d900a04eb5d6dcdc0304d06f740e22909b2c
2015-01-15,-0.2,A,F,,9c6c8d97b6435e757584dd7ab1c417a1e0f0daa604f8da4557a7b75b47ed586c
2015-01-16,-0.2,A,F,,0c52d9b21e149b608f684a424e91a5dc519e15ecbe0c8983ce552c21db607a3c
2015-01-17,-0.2,A,F,,72ed4ea76489ae835e9e8c74742e05cbf44e7145398a91bd84451da1221aaa89
2015-01-18,-0.2,A,F,,7d9806898e525c83b6116d2bd48d5d4fa5692762b634fc19182121ce651e1a4d
2015-01-19,-0.2,A,F,,89b813861e20a3619bf32ae31b3d321f6088fdb67c8eeaa2177fc10307a4ed95
2015-01-20,-0.2,A,F,,da7aa65296252edfd28fac5582e012fc81624bd85ed7104e9efd88b2c4b160ca
2015-01-21,-0.2,A,F,,745ea25e4bb1091be34951f58328d575c3c694b74f933f82ca4c49699320e5aa
2015-01-22,-0.2,A,F,,3aa5ea22370727c0b9974560c78d7c46f3b1edbb2bf833a662c87d522e8fc738
2015-01-23,-0.2,A,F,,84b76eb3e8771cb9a905556ac0ea7a7a36539d3c676c10b73da18971130f0e23
2015-01-24,-0.2,A,F,,3d33bb2c70d982c56917866a2c335b369f45537faaf9961219750551f9fbbf8c
2015-01-25,-0.2,A,F,,d0448ad343c330f6d5a4e05ad3d6ee4b3de58c28cc33649e7cc33a78ec2db07a
2015-01-26,-0.2,A,F,,792c5a006fd20890cb02d8fc1459214a9bc364dfc8346111c3b7ce0985b13f96
2015-01-27,-0.2,A,F,,c5d8c206f694d5455c910148e89258fae444b2c4648a7350a15e8542f8da11fc
2015-01-28,-0.2,A,F,,49d7d38322f4caa0e442da5f1556b4668c61079a83a31eb4593f9c7af611bfa8
