period,base_rate_percent,source_record_sha256
2012-01,3.25,d0160fa8d839f79f5aa3d6d448c7906ab302b10cb7719a9ad9da4b95cdc89664
2012-02,3.25,794160f9f6feb10d1d267f6e0333ad43dd392d83a1949ed4fad21eea117fd59d
2012-03,3.25,0d2ae469defb5c12fcd1d663441866806a5802e2424fad314f21eb618d5d00af
2012-04,3.25,b2574869e9b6c164e022455d92686c6085b76bbb9c5309cb2d1eb6275378219c
2012-05,3.25,803cbe4bb5748e5b3c4a2f58e4a3e7bb28ac65816bf5d1acb8f67d03d49b3e63
2012-06,3.25,c4e8e9ef2a3973b267fae5a238b2c78a4b1c88e511627169a1040c0d1f415a10
2012-07,3,4d1f410051acac8221eaab7f98e5d24305068731332f546cf75f3b380ce0ce71
2012-08,3,e9dcc5fb33931b72acf3e73a8e32cc1f7f4eb92b038907ac596e408d3a03df34
2012-09,3,87d9a9014084eb0a1becab294445364fff44ea0ff8bcbd885e8f2af8a3ea8d0b
2012-10,2.75,0796d646cd100c4d059a56b4b499c942f27487e71f70f003edbd5288d80a65d9
2012-11,2.75,da87d7ec5b75467a24ea963f18e070a60ba5fe24cafdca9b641aa47a01be2419
2012-12,2.75,2eac591227fc1f74b27412aebdb51b069e23c4cfaa614b656dd1c2fd4d7d3e07
