period,base_rate_percent,source_record_sha256
2025-01,3,a0a76352a446876f016780f62ee58336ce29050aac405815838a21ac9472f935
2025-02,2.75,38326636b5931e3bf556de30f604768430470140a2df2280af46d025f8ec57f0
2025-03,2.75,a9160943b533a34c0c0735969921156004a657a52febc13729ca13a766a77061
2025-04,2.75,8f4cd1f74c706857bbf881f3613c26bd8071d8759594ac4becec8ac26a0635a7
2025-05,2.5,d7a2458445745f4be33873c9e0e239b343657c723de65be87a25ab81ec4e4758
2025-06,2.5,6458d172f737acf22dc00d585f5a92479fd180b83e90ea13df88aa30549b6f07
2025-07,2.5,6954dcc23ad4acb62cbfdc9422b9584225fc73eec555a94c84638975c7773d71
2025-08,2.5,9b8b5e4a5e7acea6a0c298701e037f991c585d9fadd6b9bd17996737fd9106a2
2025-09,2.5,6b108d4df12bd58cce008128140fcd1f6477c1fd09b67ddefe811014bbd639b3
2025-10,2.5,30e43de2c9fbe26ef0d47d2b1a770650da4abe21029562e344ee7561c5e02fa5
2025-11,2.5,60b49191f7a8e8ae4d6cbd487ab00be6f235d90b69c6158be6b509edf97f2712
2025-12,2.5,483a1ee4928dc9c591bc0ab1aa8b2f566802e7d91c3ffaeaee846c6e9a04676f
