period,base_rate_percent,source_record_sha256
2014-01,2.5,a836b9766ef86150c383d03f3410799ae4258f5f92a251e3fce269cc02e08be0
2014-02,2.5,96c79c81fe35e62e46eb865a663ea14c7a197c2e6e6d4d20e13d973319757d1b
2014-03,2.5,b156ea783a41658d867176d3aafd01706c2f7029c22773c19876b821fed430cc
2014-04,2.5,eceb07d8b4dd6513ed8f78e2f5e82db50a51e117daac70694b2c983d8d3387df
2014-05,2.5,7854471b115238c791c96bc2766ae13dcd2384c32159645dbce92c02c613057d
2014-06,2.5,3c1753fd027615fbcb6862b931f7316488771548ba39169260e0895ce0de7ba4
2014-07,2.5,93a7ef806a23d8365860570dc5302e89cd098769e0a0e66f328f5e02a50b6c2a
2014-08,2.25,8b99f86958887f6b170afb0f1a40e46f7a4c3b6841a5478c85f8198bf573438a
2014-09,2.25,4f676b6182f8f02c3b23373eceb7db0e2b79cd6185c96a18c49fd241e49a1b19
2014-10,2,bb913d9f4f34c38541df069713d92c26133ef4c49e6b40c571a0b3127b1b9859
2014-11,2,d7ad22c1ed874d67a83c41fb00fd7827882077030ee0694183bee23780aae18c
2014-12,2,ac08f3775cbaecfe5f39e2df3288e7ac4ff3976700c591a1257ec9f55f7cab4b
