period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1946-01,18.2,available,,,false,b5367e8118e71e0cd90af6c918b7923e45856218a106b0289a1a01003ce06af1
1946-02,18.1,available,,,false,d308bdd31c7a092760718600392c9321826477857ad0e379a035f7eb2ef8cae9
1946-03,18.3,available,,,false,13f295c2242139f8b56a10cf70d1efb819bd3b78082b3ff67beb759db57e35d0
1946-04,18.4,available,,,false,019bc38aa87edc2c5a105a6180f0834f558151bddef5068c0878a5b90c91cb40
1946-05,18.5,available,,,false,90ab3ce31e5ead5c48595e93789d6d3ed49a96a16860e85b3fa795a1466e0b3b
1946-06,18.7,available,,,false,f37e6a5bd34bbff07230d66482ba4fbab49bcd29ea1100ec28c5521c406f7786
1946-07,19.8,available,,,false,772eb8c0a85caac5f73391b25a6a33cdadaf89b0a8e1298ea19ffcf3c3f007d4
1946-08,20.2,available,,,false,a4d7234cc51e5f9ed8ddc0da9e081c8e764eaa3607ac0246c26aed2b788ba466
1946-09,20.4,available,,,false,bff721d78203c73cc8024a7a22440884a2b0128405652807b890c8be560b9e91
1946-10,20.8,available,,,false,29f3d347bbc051bae5bc97191f88dcb71a7748c262cf8b5774a0b7c5d6e78015
1946-11,21.3,available,,,false,c1c25cc5bec84c3ba2ac3fe75ce0b4ce29c10bef46277dc69356e8fcaf1f9b89
1946-12,21.5,available,,,false,c1dbd5e19ea7cd69a6da46a6d2c4a7a316834d6c15bd9d0e465dda71e0185e68
